"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025","3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025","3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025",25-34,female,6412,19143,1100,32,1648,THB,1.41578834,48.66772404,8.60889098,1557.36716921,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025",35-44,female,21520,39043,2468,10,3693,THB,0.60600077,149.56099122,9.45880183,1495.6099122,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",25-34,female,3590,13141,538,10,851,THB,2.49667539,134.32113601,6.47591507,1343.2113601,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",35-44,female,4904,16696,1237,25,1702,THB,1.08445432,53.6588,10.19405846,1341.47,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",35-44,female,5464,15040,1238,34,1704,THB,1.06534638,38.79114167,11.32978723,1318.89881667,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",35-44,female,3880,10757,649,15,896,THB,1.8322188,79.274,8.32945989,1189.11,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025",25-34,female,20712,45304,5113,10,6542,THB,0.22250791,113.76829348,14.44022603,1137.68293476,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",25-34,female,4536,11733,470,14,709,THB,2.34714894,78.79714286,6.04278531,1103.16,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025",45-54,female,13312,22796,1737,3,2502,THB,0.6228219,360.61387894,10.97560976,1081.84163683,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",35-44,female,2336,8264,402,11,597,THB,2.65695258,97.09953972,7.22410455,1068.09493693,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025",25-34,female,14904,32197,2873,1,3607,THB,0.33281421,956.17521912,11.2029071,956.17521912,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",25-34,female,4956,13520,815,16,1175,THB,1.15168868,58.66414216,8.6908284,938.6262746,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025","3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025","3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025",35-44,female,3372,9784,595,21,858,THB,1.57528472,44.633067,8.76941946,937.29440703,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025",25-34,female,14736,26101,1447,4,2163,THB,0.62928695,227.64455289,8.28703881,910.57821156,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",25-34,female,4096,13810,814,22,1169,THB,1.05982801,39.21363636,8.46488052,862.7,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",35-44,female,14528,30796,3008,6,3633,THB,0.26444345,132.57431843,11.79698662,795.44591059,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 16-30 ARP 2025",35-44,female,16432,46079,4905,20,6108,THB,0.15898063,38.99,13.255496,779.8,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",35-44,female,13888,30926,3242,12,4033,THB,0.23692331,64.00878019,13.04080709,768.10536234,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",25-34,female,12712,25448,2214,7,2780,THB,0.25977484,82.16307201,10.92423766,575.14150404,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025",35-44,female,8608,17599,1636,2,2004,THB,0.33781616,276.33361833,11.38701063,552.66723666,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",25-34,female,11184,24025,2196,4,2688,THB,0.25139847,138.0177604,11.18834547,552.07104159,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",45-54,female,1660,4895,476,15,661,THB,1.06207983,33.70333333,13.50357508,505.55,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 16-30 ARP 2025",25-34,female,11800,31970,2902,11,3770,THB,0.1708856,45.08272727,11.79230529,495.91,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025",55-64,female,5808,9141,676,3,1003,THB,0.69758792,157.18981046,10.9725413,471.56943139,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 16-30 ARP 2025",45-54,female,9360,23157,2778,7,3424,THB,0.16714183,66.33142857,14.78602582,464.32,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",45-54,female,1832,4340,444,9,609,THB,1.03520962,51.0703414,14.03225806,459.63307259,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",45-54,female,7056,15086,1675,6,2091,THB,0.26147389,72.99479325,13.86053294,437.96875951,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025",35-44,female,9296,18429,2025,4,2606,THB,0.21626342,109.48335775,14.14075642,437.933431,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",45-54,female,6192,13535,1561,2,1828,THB,0.25702628,200.6090126,13.5057259,401.2180252,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",45-54,female,1000,2600,215,2,292,THB,1.72227907,185.145,11.23076923,370.29,2025-04-01,2025-04-30
