"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | Shine this Christmas with Aurora Diamond | 16-31 Dec 25","Shine this Christmas with Aurora Diamond","3020 | BU DIA | Engage | Shine this Christmas with Aurora Diamond | 16-31 Dec 25 [Interest-BKK]",35-44,female,18785,41503,4413,7,5149,THB,0.24724051,155.86747865,12.40633207,1091.07235054,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Shine this Christmas with Aurora Diamond | 16-31 Dec 25","Shine this Christmas with Aurora Diamond","3020 | BU DIA | Engage | Shine this Christmas with Aurora Diamond | 16-31 Dec 25 [Interest-BKK]",45-54,female,15997,33978,3942,2,4577,THB,0.26709975,526.45361357,13.4704809,1052.90722715,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25","Happy Pearl Year-End Sale up to 70%","3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25 [Interest-BKK]",35-44,female,5742,13536,1403,51,1637,THB,0.70314846,19.34347627,12.09367612,986.51728974,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | ฉลองวันสำคัญของคุณด้วย Wedding Package | 6-31 Dec 25","ฉลองวันสำคัญของคุณด้วย Wedding Package","3020 | BU DIA | Engage | ฉลองวันสำคัญของคุณด้วย Wedding Package | 6-31 Dec 25 [Interest]",25-34,female,12636,23059,2807,4,3607,THB,0.34505122,242.13969446,15.64248233,968.55877786,2025-12-01,2025-12-31
"3020 | BU DIA | Message | 12.12 ลดไปเลย 50% | 11-15 Dec 25","12.12 ลดไปเลย 50% | 11-15 Dec 25","3020 | BU DIA | Message |12.12 ลดไปเลย 50% | 11-15 Dec 25 [Interest-BKK]",35-44,female,7149,12732,438,30,628,THB,2.17176009,31.70769732,4.93245366,951.23091947,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25","Celebrate this Sparkle season Sale up to 50%","3020 | BU DIA | Engage | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25 [Interest]",35-44,female,15407,31692,2821,4,3385,THB,0.31485751,222.05325934,10.68092894,888.21303736,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Shine this Christmas with Aurora Diamond | 16-31 Dec 25","Shine this Christmas with Aurora Diamond","3020 | BU DIA | Message | Shine this Christmas with Aurora Diamond | 16-31 Dec 25  [Interest-BKK]",25-34,female,3724,10566,545,10,776,THB,1.45107971,79.08384403,7.34431194,790.83844034,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Shine this Christmas with Aurora Diamond | 16-31 Dec 25","Shine this Christmas with Aurora Diamond","3020 | BU DIA | Message | Shine this Christmas with Aurora Diamond | 16-31 Dec 25  [Interest-BKK]",35-44,female,3730,9954,675,11,919,THB,1.16098372,71.24218266,9.23246936,783.66400924,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25","Celebrate this Sparkle season Sale up to 50%","3020 | BU DIA | Message | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25 [Interest]",35-44,female,3047,8765,645,15,840,THB,1.09854232,47.23731974,9.58357102,708.5597961,2025-12-01,2025-12-31
"3020 | BU DIA | Message | ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25","ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25","3020 | BU DIA | Message |  ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25  [Interest]",35-44,female,5660,12574,419,17,547,THB,1.55481971,38.32173294,4.35024654,651.46945997,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25","Happy Pearl Year-End Sale up to 70%","3020 | BU DIA | Engage | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25 [Interest-BKK]",35-44,female,11085,22193,2881,15,3375,THB,0.22380967,42.98637638,15.20749786,644.79564567,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25","Happy Pearl Year-End Sale up to 70%","3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25 [Interest-BKK]",45-54,female,2497,6686,956,32,990,THB,0.66947519,20.0005714,14.80705953,640.01828488,2025-12-01,2025-12-31
"3020 | BU DIA | Message | 12.12 ลดไปเลย 50% | 11-15 Dec 25","12.12 ลดไปเลย 50% | 11-15 Dec 25","3020 | BU DIA | Message |12.12 ลดไปเลย 50% | 11-15 Dec 25 [Interest-BKK]",25-34,female,4703,8716,187,10,344,THB,3.11861293,58.31806185,3.94676457,583.1806185,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25","Celebrate this Sparkle season Sale up to 50%","3020 | BU DIA | Engage | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25 [Interest]",25-34,female,11700,22205,1819,4,2272,THB,0.3136481,142.6314722,10.23192975,570.52588879,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 22-31 Dec 25","Happy Pearl Year-End Sale up to 70% | 22-31 Dec 25","3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 22-31 Dec 25 [Interest-BKK]",35-44,female,5825,11061,443,30,578,THB,1.28008219,18.90254694,5.22556731,567.07640807,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25","Happy Pearl Year-End Sale up to 70%","3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25 [Interest-BKK]",25-34,female,3885,8811,734,35,913,THB,0.76796985,16.10542477,10.36204744,563.68986708,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25","Celebrate this Sparkle season Sale up to 50%","3020 | BU DIA | Engage | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25 [Interest]",45-54,female,8534,17098,1641,3,1962,THB,0.3379671,184.86800112,11.47502632,554.60400335,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Shine this Christmas with Aurora Diamond | 16-31 Dec 25","Shine this Christmas with Aurora Diamond","3020 | BU DIA | Engage | Shine this Christmas with Aurora Diamond | 16-31 Dec 25 [Interest-BKK]",25-34,female,11150,22091,2258,2,2701,THB,0.24456104,276.10941167,12.22669866,552.21882335,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25","Celebrate this Sparkle season Sale up to 50%","3020 | BU DIA | Message | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25 [Interest]",25-34,female,2844,8413,441,11,630,THB,1.22947257,49.29067294,7.48841079,542.19740238,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25","Celebrate this Sparkle season Sale up to 50%","3020 | BU DIA | Engage | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25 [Interest-BKK]",35-44,female,8579,17709,1721,4,2051,THB,0.31485528,135.46648362,11.58168163,541.86593449,2025-12-01,2025-12-31
"3020 | BU DIA | Message | 12.12 ลดไปเลย 50% | 11-15 Dec 25","12.12 ลดไปเลย 50% | 11-15 Dec 25","3020 | BU DIA | Message |12.12 ลดไปเลย 50% | 11-15 Dec 25 [Interest-BKK]",45-54,female,2956,5398,278,19,373,THB,1.93063105,28.24818057,6.90996665,536.71543088,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25","Celebrate this Sparkle season Sale up to 50%","3020 | BU DIA | Message | Celebrate this Sparkle season Sale up to 50% | 5-15 Dec 25 [Interest-BKK]",35-44,female,2063,4909,379,6,498,THB,1.24089472,78.38318288,10.14463231,470.29909727,2025-12-01,2025-12-31
"3020 | BU DIA | Message | ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25","ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25","3020 | BU DIA | Message |  ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25  [Interest]",25-34,female,3818,9818,178,3,303,THB,2.57905562,153.02396658,3.08616826,459.07189974,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 22-31 Dec 25","Happy Pearl Year-End Sale up to 70% | 22-31 Dec 25","3020 | BU DIA | Message | Happy Pearl Year-End Sale up to 70% | 22-31 Dec 25 [Interest-BKK]",45-54,female,3656,6626,423,24,545,THB,1.07021512,18.86254155,8.22517356,452.70099709,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | ฉลองวันสำคัญของคุณด้วย Wedding Package | 6-31 Dec 25","ฉลองวันสำคัญของคุณด้วย Wedding Package","3020 | BU DIA | Engage | ฉลองวันสำคัญของคุณด้วย Wedding Package | 6-31 Dec 25 [Interest-BKK]",25-34,female,5462,9111,1356,2,1705,THB,0.32614047,221.12324012,18.71364285,442.24648023,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Shine this Christmas with Aurora Diamond | 16-31 Dec 25","Shine this Christmas with Aurora Diamond","3020 | BU DIA | Engage | Shine this Christmas with Aurora Diamond | 16-31 Dec 25 [Interest-BKK]",55-64,female,6212,13304,1587,5,1874,THB,0.26431394,83.89324371,14.08598918,419.46621853,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25","Happy Pearl Year-End Sale up to 70%","3020 | BU DIA | Engage | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25 [Interest-BKK]",25-34,female,8481,15362,1811,13,2171,THB,0.22759039,31.70509217,14.13227444,412.1661982,2025-12-01,2025-12-31
"3020 | BU DIA | Engage | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25","Happy Pearl Year-End Sale up to 70%","3020 | BU DIA | Engage | Happy Pearl Year-End Sale up to 70% | 5-31 Dec 25 [Interest-BKK]",45-54,female,6075,12384,1762,5,2048,THB,0.23062072,81.27074268,16.5374677,406.3537134,2025-12-01,2025-12-31
"3020 | BU DIA | Message | ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25","ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25","3020 | BU DIA | Message |  ฉลองวันเงินเดือนออก Pay Day | 23-31 Dec 25  [Interest-BKK]",35-44,female,2948,6376,185,8,281,THB,2.17016216,50.185,4.40715182,401.48,2025-12-01,2025-12-31
"3020 | BU DIA | Message | Shine this Christmas with Aurora Diamond | 16-31 Dec 25","Shine this Christmas with Aurora Diamond","3020 | BU DIA | Message | Shine this Christmas with Aurora Diamond | 16-31 Dec 25  [Interest-BKK]",45-54,female,1266,3425,294,1,373,THB,1.3419853,394.54367942,10.89051095,394.54367942,2025-12-01,2025-12-31
