"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025","3020 | BU DIA | MSG | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025","3020 | BU DIA | MSG | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025",35-44,female,6579,25924,3376,104,4503,THB,0.38503923,12.49896581,17.37000463,1299.89244424,2025-02-01,2025-02-28
"3020 | BU DIA | MSG | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท | 1-16 FEB 2025","3020 | BU DIA | MSG | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท - สำเนา","3020 | BU DIA | MSG | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท - สำเนา",25-34,female,3259,14817,1758,51,2240,THB,0.66004601,22.75217425,15.11777013,1160.36088691,2025-02-01,2025-02-28
"3020 | BU DIA | MSG | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท | 1-16 FEB 2025","3020 | BU DIA | MSG | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท - สำเนา","3020 | BU DIA | MSG | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท - สำเนา",35-44,female,2401,12704,2020,33,2381,THB,0.5669654,34.70515482,18.74212846,1145.2701091,2025-02-01,2025-02-28
"3020 | BU DIA | MSG | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025","3020 | BU DIA | MSG | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025","3020 | BU DIA | MSG | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025",25-34,female,6455,23153,2141,49,2983,THB,0.46818132,20.45665748,12.88385954,1002.37621645,2025-02-01,2025-02-28
"3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DK9K90-0002) |  19-28 FEB 2025","3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DK9K90-0002) |  19-28 FEB 2025","3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DK9K90-0002) |  19-28 FEB 2025",35-44,female,16635,27859,2269,26,3416,THB,0.30510931,26.62665511,12.26174665,692.29303293,2025-02-01,2025-02-28
"3020 | BU DIA | Engage | Lifestyle : Best Valentine Gift for her (สินค้าใหม่ DK9K90-0001) | 3-28 FEB 2025","3020 | BU DIA | Engage | Lifestyle : Best Valentine Gift for her (สินค้าใหม่ DK9K90-0001) | 3-28 FEB 2025","3020 | BU DIA | Engage | Lifestyle : Best Valentine Gift for her (สินค้าใหม่ DK9K90-0001) | 3-28 FEB 2025",25-34,male,64502,75857,483,,100,THB,1.38249789,,0.13182699,667.7464831,2025-02-01,2025-02-28
"3020 | BU DIA | Engage | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท | 1-16 FEB 2025","3020 | BU DIA | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท","3020 | BU DIA | โปรโมชัน : Valentine Gift จับคูปองซื้อเพชรชิ้นที่ 2 / 14 บาท",25-34,male,66424,69213,69,,115,THB,8.18679942,,0.16615376,564.88915998,2025-02-01,2025-02-28
"3020 | BU DIA | Engage | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025","3020 | BU DIA | Engage | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025","3020 | BU DIA | Engage | โปรโมชัน : Gift for you Valentine เริ่มต้นเพียง 7,300 | 2-28 FEB 2025",25-34,male,55546,63133,332,,81,THB,1.58483336,,0.12830057,526.1646747,2025-02-01,2025-02-28
"3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DK9K90-0002) |  19-28 FEB 2025","3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DK9K90-0002) |  19-28 FEB 2025","3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DK9K90-0002) |  19-28 FEB 2025",45-54,female,10925,17144,1662,10,2526,THB,0.3087393,51.31247132,14.73401773,513.12471316,2025-02-01,2025-02-28
"3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DKOP017) |  7-28 FEB 2025","3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DKOP017) |  7-28 FEB 2025","3020 | BU DIA | Engage | Lifestyle : New Arrival (สินค้าใหม่ DKOP017) |  7-28 FEB 2025",25-34,male,48667,55986,421,,50,THB,1.13494021,,0.08930804,477.80982997,2025-02-01,2025-02-28
