"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",25-34,female,12044,47012,2787,101,4432,THB,1.32611083,36.5927809,9.42738024,3695.87087069,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",35-44,female,5250,22090,1232,39,1997,THB,1.48889821,47.03391272,9.04028972,1834.32259603,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",25-34,female,33914,69875,7184,17,9782,THB,0.23901278,101.00399012,13.99928444,1717.06783205,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",35-44,female,4991,17964,1175,37,1698,THB,1.05076119,33.36876752,9.45223781,1234.64439835,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",35-44,female,4044,15610,632,52,1157,THB,1.87147152,22.74557692,7.41191544,1182.77,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",25-34,female,3946,14563,420,51,858,THB,2.54002381,20.91784314,5.89164321,1066.81,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",25-34,female,4983,17113,837,40,1363,THB,1.17629155,24.61390058,7.96470519,984.55602318,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",25-34,female,25296,38711,2174,47,2949,THB,0.43701932,20.21446809,7.61798972,950.08,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",35-44,female,22000,34120,2374,47,3302,THB,0.38457877,19.42531915,9.67760844,912.99,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",35-44,female,15408,37024,2946,7,3797,THB,0.26130823,109.97343409,10.25550994,769.81403863,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",35-44,female,14544,29494,1145,3,1784,THB,0.63738865,243.27,6.04868787,729.81,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",45-54,female,12768,26481,1105,5,1657,THB,0.63502262,140.34,6.25731657,701.7,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",35-44,female,6900,14546,1314,17,1715,THB,0.50022831,38.66470588,11.79018287,657.3,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",35-44,female,13460,26783,2642,5,3532,THB,0.24872731,131.42751247,13.18746966,657.13756233,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",25-34,female,14128,26480,950,5,1369,THB,0.68137895,129.462,5.16993958,647.31,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",25-34,male,2313,8392,496,20,741,THB,1.26502192,31.37254357,8.82983794,627.45087132,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",45-54,female,4716,10751,1104,6,1431,THB,0.53976449,99.31666667,13.31038973,595.9,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",45-54,female,11840,16774,1325,25,1780,THB,0.40693585,21.5676,10.6116609,539.19,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",25-34,female,11614,26945,1888,2,2582,THB,0.2727807,257.50497664,9.58248284,515.00995328,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",45-54,female,1945,5339,539,11,743,THB,0.84023073,41.17130593,13.91646376,452.88436527,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",45-54,female,1496,4790,294,20,463,THB,1.49003401,21.9035,9.66597077,438.07,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",45-54,female,7236,17410,1602,3,2091,THB,0.27287407,145.71475254,12.01033889,437.14425761,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",55-64,female,7248,15272,445,1,785,THB,0.89114607,396.56,5.14012572,396.56,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",45-54,female,1176,3988,222,5,343,THB,1.59907227,70.99880866,8.60080241,354.99404331,2025-07-01,2025-07-31
