"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",25-34,female,12488,54032,4031,92,6042,THB,0.89833269,39.36064216,11.18226236,3621.1790789,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",35-44,female,5444,23355,1700,51,2482,THB,1.12528995,37.50966484,10.62727467,1912.99290689,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",25-34,female,33427,90546,10683,40,14215,THB,0.17110985,45.69916398,15.69920262,1827.96655933,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",35-44,female,5296,16086,1032,39,1512,THB,1.21831395,32.23846154,9.39947781,1257.3,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",25-34,female,4668,13794,771,36,1198,THB,1.23431907,26.435,8.68493548,951.66,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",35-44,female,14481,38281,2702,43,3722,THB,0.33685094,21.16677301,9.72283901,910.17123931,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",45-54,female,11649,30308,2310,24,2988,THB,0.39339446,37.86421691,9.85878316,908.74120594,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025",35-44,female,16754,37558,3173,7,5592,THB,0.28189842,127.7805252,14.88897172,894.46367641,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",35-44,female,15081,36699,2373,22,3748,THB,0.36100053,38.93883031,10.21281234,856.65426672,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",35-44,female,20290,43081,4307,15,5505,THB,0.19827117,56.93026261,12.77825492,853.95393916,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",35-44,female,11969,32101,3621,11,4754,THB,0.18240354,60.04392815,14.80950749,660.48320966,2025-06-01,2025-06-30
