"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR2025","3020 | BU DIA | MSG | โปรโมชัน : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR2025","3020 | BU DIA | MSG | โปรโมชัน : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR2025",25-34,female,6884,21639,1564,33,2308,THB,1.02368648,48.51653499,10.66592726,1601.04565473,2025-03-01,2025-03-31
"3020 | BU DIA | MSG | One Price (LEVA) ราคาเดียว 39,900.- | 18 MAR - 15 APR 2025","One Price (LEVA) ราคาเดียว 39,900.-  | 18 MAR - 15 APR 2025 ปรับกลุ่มเป้าหมาย","One Price (LEVA) ราคาเดียว 39,900.-  | 18 MAR - 15 APR 2025 ปรับกลุ่มเป้าหมาย",25-34,female,4190,13701,482,12,700,THB,2.94431535,118.26333333,5.10911612,1419.16,2025-03-01,2025-03-31
"3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025",35-44,female,5924,14989,905,22,1180,THB,1.35667403,55.80863636,7.87243979,1227.79,2025-03-01,2025-03-31
"3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025 - สำเนา","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025",35-44,female,6532,14129,778,16,996,THB,1.55015424,75.37625,7.04933116,1206.02,2025-03-01,2025-03-31
"3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",35-44,female,4220,16940,1254,27,1656,THB,0.93801788,43.56571911,9.77567887,1176.27441589,2025-03-01,2025-03-31
"3020 | BU DIA | Engage | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR 2025","3020 | BU DIA | Engage | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR 2025","3020 | BU DIA | Engage | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR 2025",25-34,female,21655,51228,6247,17,8030,THB,0.18717728,68.78214449,15.67502147,1169.29645628,2025-03-01,2025-03-31
"3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",25-34,female,4356,15542,770,18,1077,THB,1.34797905,57.66354805,6.92961009,1037.94386497,2025-03-01,2025-03-31
"3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025",25-34,female,5936,15040,638,17,861,THB,1.51688088,56.92764706,5.72473404,967.77,2025-03-01,2025-03-31
"3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025 - สำเนา","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025",25-34,female,6040,13281,535,11,689,THB,1.80347664,87.71454545,5.18786236,964.86,2025-03-01,2025-03-31
"3020 | BU DIA | MSG | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR2025","3020 | BU DIA | MSG | โปรโมชัน : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR2025","3020 | BU DIA | MSG | โปรโมชัน : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR2025",35-44,female,2872,9503,799,20,1140,THB,1.03322349,41.27727857,11.99621172,825.54557139,2025-03-01,2025-03-31
"3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025",35-44,female,14056,29912,3118,8,3694,THB,0.25182672,98.14946303,12.34955871,785.19570423,2025-03-01,2025-03-31
"3020 | BU DIA | Engage | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025","3020 | BU DIA | Engage | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025","3020 | BU DIA | Engage | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",35-44,female,10032,30482,3557,10,4201,THB,0.21646004,76.99483702,13.78190407,769.94837018,2025-03-01,2025-03-31
