"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",35-44,female,2946,13449,984,16,1272,THB,1.3554856,83.36236411,9.45795226,1333.79782578,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025",25-34,female,27137,54927,3117,26,5267,THB,0.40888522,49.01904724,9.58909098,1274.49522813,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",35-44,female,7099,19693,1387,31,1820,THB,0.90149249,40.33451871,9.24186259,1250.37007989,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025",35-44,female,5048,16508,1274,46,1696,THB,0.94677207,26.22146983,10.27380664,1206.18761205,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025",25-34,female,2495,10988,444,17,749,THB,2.69970638,70.50997829,6.81652712,1198.66963086,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025",35-44,female,1649,7634,367,11,577,THB,2.89092184,96.45166518,7.55829185,1060.96831702,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025",35-44,female,18257,38845,2461,19,3784,THB,0.40965611,53.06124669,9.74127944,1008.16368709,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",25-34,female,3338,11232,605,13,782,THB,1.33645215,62.19642696,6.96225071,808.55355053,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",35-44,female,21910,51065,5023,17,6081,THB,0.16077792,47.50514746,11.9083521,807.58750681,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",25-34,female,6618,16674,803,30,1167,THB,1.00299985,26.84696262,6.99892047,805.40887874,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",35-44,female,11345,36191,4322,11,5165,THB,0.18544558,72.86325505,14.27150397,801.49580555,2025-05-01,2025-05-31
