"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Message | Wedding Package sale up to 60% off | 2-30 Nov 25","Wedding Package sale up to 60% off","3020 | BU DIA | Message |Wedding Package sale up to 60% off | 2-30 Nov 25 [Retargeting]",25-34,female,4982,12328,1115,20,1619,THB,1.02234434,56.99569691,13.13270604,1139.91393819,2025-11-01,2025-11-30
"3020 | BU DIA | Engage | Wedding Package sale up to 60% off | 2-30 Nov 25","Wedding Package sale up to 60% off","3020 | BU DIA | Engage |Wedding Package sale up to 60% off | 2-30 Nov 25 [Retargeting]",25-34,female,12619,25258,3596,9,4662,THB,0.26033301,104.01750202,18.45751841,936.15751814,2025-11-01,2025-11-30
"3020 | BU DIA | Message | จัดตามงบ ได้ครบตามใจ Sale up to 50% off | 16-30 Nov 25 - Copy","จัดตามงบ ได้ครบตามใจ Sale up to 50% off","3020 | BU DIA | Message  | จัดตามงบ ได้ครบตามใจ Sale up to 50% off | 16-30 Nov 25 [Retargeting]",35-44,female,5479,13801,1388,55,1804,THB,0.67171843,16.95173054,13.07151656,932.3451798,2025-11-01,2025-11-30
"3020 | BU DIA | Message | The Season of Gift Finding Sale up to 60% off | 1-15 Nov 25","The Season of Gift Finding Sale up to 60% off","3020 | BU DIA | Message |The Season of Gift Finding Sale up to 60% off | 1-15 Nov 25 [Interest]",35-44,female,4745,11896,949,16,1181,THB,0.73767005,43.75305464,9.92770679,700.04887429,2025-11-01,2025-11-30
"3020 | BU DIA | Message | Modern Pearl, Minimal You Sale up to 60% | 1-30 Nov 25","Modern Pearl, Minimal You Sale up to 60%","3020 | BU DIA | Message | Modern Pearl, Minimal You Sale up to 60% | 1-30 Nov 25 [Retargeting]",35-44,female,5260,9903,1007,57,1438,THB,0.67518765,11.92831515,14.52085227,679.91396368,2025-11-01,2025-11-30
"3020 | BU DIA | Message | จัดตามงบ ได้ครบตามใจ Sale up to 50% off | 16-30 Nov 25 - Copy","จัดตามงบ ได้ครบตามใจ Sale up to 50% off","3020 | BU DIA | Message  | จัดตามงบ ได้ครบตามใจ Sale up to 50% off | 16-30 Nov 25 [Retargeting]",25-34,female,4691,11548,949,44,1290,THB,0.62451422,13.46963622,11.1707655,592.66399368,2025-11-01,2025-11-30
"3020 | BU DIA | Message | The Season of Gift Finding Sale up to 60% off | 10-12 Nov 25","The Season of Gift Finding Sale up to 60% off | 10-12 Nov 25","3020 | BU DIA | Message |The Season of Gift Finding Sale up to 60% off | 10-12 Nov 25  [Retargeting]",35-44,female,3834,5827,377,13,491,THB,1.50089076,43.52583217,8.4262914,565.83581815,2025-11-01,2025-11-30
"3020 | BU DIA | Message | Modern Pearl, Minimal You Sale up to 60% | 1-30 Nov 25","Modern Pearl, Minimal You Sale up to 60%","3020 | BU DIA | Message | Modern Pearl, Minimal You Sale up to 60% | 1-30 Nov 25 [Interest]",35-44,female,5905,11313,1047,52,1519,THB,0.53640938,10.80039652,13.42703085,561.62061885,2025-11-01,2025-11-30
"3020 | BU DIA | Message | The Season of Gift Finding Sale up to 60% off | 10-12 Nov 25","The Season of Gift Finding Sale up to 60% off | 10-12 Nov 25","3020 | BU DIA | Message |The Season of Gift Finding Sale up to 60% off | 10-12 Nov 25  [Interest]",35-44,female,4727,7481,446,12,576,THB,1.19402189,44.3778136,7.69950541,532.53376321,2025-11-01,2025-11-30
"3020 | BU DIA | Engage | Modern Pearl, Minimal You Sale up to 60% | 1-30 Nov 25","Modern Pearl, Minimal You Sale up to 60%","3020 | BU DIA | Engage |Modern Pearl, Minimal You Sale up to 60% | 1-30 Nov 25 [Retargeting]",25-34,female,10192,19391,2056,20,2826,THB,0.25022324,25.72294893,14.57377134,514.45897851,2025-11-01,2025-11-30
