"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25","Wedding Package sale up to 60% off","3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25 [Retargeting]",25-34,female,4072,10946,844,33,1165,THB,1.22846001,31.41879544,10.64315732,1036.82024941,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Wedding Package sale up to 60% off | 1-31 Oct 25","Wedding Package sale up to 60% off","3020 | BU DIA | Engage | Wedding Package sale up to 60% off | 1-31 Oct 25 [Retargeting]",25-34,female,13276,29344,3749,4,4741,THB,0.26444096,247.84728873,16.15662486,991.38915493,2025-10-01,2025-10-31
"3020 | BU DIA | Message | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25","เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off","3020 | BU DIA | Message | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25 [Retargeting]",35-44,female,5126,13980,1110,18,1413,THB,0.8262373,50.95130038,10.10729614,917.12340677,2025-10-01,2025-10-31
"3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Retargeting]",35-44,female,5314,11599,1255,33,1552,THB,0.6909591,26.27738401,13.38046383,867.15367231,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25","Your Diamond Your Gift Sale up to 60% off","3020 | BU DIA | Message | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25 [Retargeting]",35-44,female,3472,9413,769,23,1025,THB,1.06231469,35.51826087,10.88919579,816.92,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25 [Retargeting]",35-44,female,3382,10191,853,39,1142,THB,0.88556906,19.36898482,11.20596605,755.39040795,2025-10-01,2025-10-31
"3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Retargeting]",25-34,female,5282,12559,890,27,1230,THB,0.82349251,27.14475311,9.79377339,732.90833396,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25","Your Diamond Your Gift Sale up to 60% off","3020 | BU DIA | Message | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25 [Retargeting]",25-34,female,3487,9724,521,19,719,THB,1.36410749,37.40526316,7.39407651,710.7,2025-10-01,2025-10-31
"3020 | BU DIA | Engage  | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Engage  | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Retargeting]",35-44,female,12246,23323,3515,9,4210,THB,0.19747021,77.12308773,18.05085109,694.10778954,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25","เพชรแท้ตามงบ ครบจบที่นี่","3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25 [Retargeting]",25-34,female,8567,19228,1514,2,1862,THB,0.45764424,346.43669249,9.68379447,692.87338497,2025-10-01,2025-10-31
"3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Interest]",35-44,female,5108,11716,1197,45,1252,THB,0.52541691,13.97608979,10.68624104,628.92404055,2025-10-01,2025-10-31
