"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68 [Retargeting]",25-34,female,7962,35366,1727,39,2420,THB,1.7703774,78.39594302,6.84273031,3057.44177781,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68 [Retargeting]",35-44,female,5094,23677,1667,23,2189,THB,1.49567366,108.40382539,9.24525911,2493.28798393,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",35-44,female,3779,15086,1034,18,954,THB,1.52705975,87.72109896,6.32374387,1578.97978119,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68 [Retargeting]",25-34,female,17181,40497,3949,3,4757,THB,0.36477049,480.15955435,11.74654913,1440.47866305,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | BU DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68",35-44,female,3593,15440,1265,32,1330,THB,0.9530803,37.67645546,8.61398964,1205.64657458,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | BU DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68",35-44,female,6411,21122,1874,77,2532,THB,0.63723197,15.50873663,11.98750118,1194.1727208,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 13-30 Sep 68 [Retargeting]",35-44,female,13046,31258,3248,6,3820,THB,0.36162986,195.76229945,12.22087146,1174.57379669,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",25-34,female,3510,13854,641,8,689,THB,1.79214246,143.59541496,4.97329291,1148.76331971,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | BU DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | DIA | Message | September Mega Sale up to 60% off | 1-12 Sep 68",25-34,female,3490,14012,721,26,873,THB,1.40495747,38.96055144,6.23037397,1012.97433733,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | BU DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68","3020 | DIA | Message | Everyday Pearls sale up to 50% off | 1-30 Sep 68",25-34,female,7023,21150,1469,52,2141,THB,0.68345953,19.30773175,10.12293144,1004.00205097,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68 [Retargeting]",35-44,female,3545,11316,877,29,1227,THB,1.12170479,33.92189993,10.84305408,983.73509798,2025-09-01,2025-09-30
