"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"2200 | BU DIA | Message | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","2200 | BU DIA | Message | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26 - [BKK]",25-34,female,12250,21219,50,5,85,THB,24.88116678,248.8116678,0.40058438,1244.05833898,2026-04-01,2026-04-30
"2200 | BU DIA | Message | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","2200 | BU DIA | Message | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26 - [Other-Province]",25-34,female,23060,33783,53,1,63,THB,16.82469544,891.70885827,0.18648433,891.70885827,2026-04-01,2026-04-30
"2200 | BU DIA | Message | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","2200 | BU DIA | Message | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26 - [BKK]",35-44,female,2849,5663,20,1,42,THB,38.489258,769.7851599,0.74165637,769.7851599,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Wedding Package Aurora Diamond | 2 - 30 April 26","Wedding Package Aurora Diamond | 2 - 30 April 26","2200 | BU DIA | Message | Wedding Package Aurora Diamond | 2 - 30 April 26 - [Other-Province]",25-34,female,3449,11332,803,32,1227,THB,0.84897883,21.3040625,10.82774444,681.73,2026-04-01,2026-04-30
"2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26 - [BKK]",35-44,female,4286,10557,861,36,1123,THB,0.77584626,18.55565629,10.63749171,668.00362648,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26","Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26","2200 | BU DIA | Message | Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26- [BKK]",25-34,female,2144,5143,42,2,60,THB,14.6747619,308.17,1.16663426,616.34,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26 - [Other-Province]",25-34,male,4267,9120,84,1,13,THB,6.75869048,567.73,0.14254386,567.73,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26 - [Other-Province]",25-34,female,4799,9095,52,1,9,THB,10.60288462,551.35,0.09895547,551.35,2026-04-01,2026-04-30
"2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26 - [BKK]",45-54,female,2495,7011,723,31,920,THB,0.76107645,17.75026694,13.12223649,550.2582752,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA | Message | Pearl Summer Duo sale | 1-30 April 26 - [BKK]",25-34,female,2302,5487,78,4,112,THB,6.98102564,136.13,2.04118826,544.52,2026-04-01,2026-04-30
"2200 | BU DIA | Message | A Summer shine | 16 - 30 April 26","A Summer shine | 16 - 30 April 26","2200 | BU DIA | Message | A Summer shine | 16 - 30 April 26 - [BKK]",25-34,female,2094,4946,191,4,109,THB,2.79727749,133.57,2.20380105,534.28,2026-04-01,2026-04-30
