Campaign name,Ad name,Ad set name,Age,Gender,Reach,Impressions,Post engagements,Messaging conversations started,Clicks (all),Currency,Cost per post engagement,Cost per messaging conversation started,CTR (all),Amount spent (THB),Reporting starts,Reporting ends
2200 | DIA | Message | Wedding Package | 1 - 31 Aug 26,Message - Wedding Package -1 - 31 Aug 26,2200 | DIA | Message | Wedding Package | 1 - 31 Aug 266  [BKK],25-34,female,6173,20792,2074,59,2652,THB,0.93374256,32.82342476,12.75490573,1936.582061,1/8/2026,31/8/2026
"2200 | DIA | Message  | More than a gift, moment that last - 16 - 31 Aug 26","Message - More than a gift, moment that last - 16 - 31 Aug 26","2200 | DIA | Message | More than a gift, moment that last - 16 - 31 Aug 26  [BKK]",35-44,female,10532,31133,1056,135,1918,THB,1.82885026,14.30567317,6.16066553,1931.265877,1/8/2026,31/8/2026
2200 | DIA | Message  | To Mom with love and light | 1 - 15 Aug 26,Message - To Mom with love and light - 1 - 15 Aug 26,2200 | DIA | Message | To Mom with love and light | 1 - 15 Aug 26  [BKK],35-44,female,6681,17778,467,49,953,THB,3.27240093,31.18798441,5.36055799,1528.211236,1/8/2026,31/8/2026
2200 | Pearl | Message  | A gift of Grace A Present of Pearls | 1 - 31 Aug 26,Message - Pearl - A gift of Grace A Present of Pearls | 1 - 31 Aug 26,2200 | Pearl | Message | A gift of Grace A Present of Pearls | 1 - 31 Aug 26  [BKK],35-44,female,9974,20684,686,99,1051,THB,2.16048105,14.97060606,5.0812222,1482.09,1/8/2026,31/8/2026
2200 | DIA | Awareness | To Mom with love and light | 1 - 15 Aug 26,Awareness  - To Mom with love and light | 1 - 15 Aug 26,2200 | DIA | Awareness  | To Mom with love and light | 1 - 15 Aug 26 [Other-Province],25-34,male,101625,171441,179,1,183,THB,8.14965346,1458.78797,0.10674226,1458.78797,1/8/2026,31/8/2026
2200 | DIA | Message  | A gift of Grace A Present of Pearls | 1 - 31 Aug 26,Message - A gift of Grace A Present of Pearls | 1 - 31 Aug 26,2200 | DIA | Message | A gift of Grace A Present of Pearls | 1 - 31 Aug 26  [BKK],35-44,female,7375,16299,499,57,815,THB,2.8425522,24.88479913,5.00030677,1418.43355,1/8/2026,31/8/2026
2200 | DIA | Message  | วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก | 1 - 31 Aug 26,Message - วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก  - 1 - 31 AUG 26,2200 | DIA | Message | วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก  - 1 - 31 AUG 26  [BKK],35-44,female,3982,13082,1194,21,1461,THB,1.14748978,65.24299014,11.16801712,1370.102793,1/8/2026,31/8/2026
"2200 | DIA | Message  | More than a gift, moment that last - 16 - 31 Aug 26","Message - More than a gift, moment that last - 16 - 31 Aug 26","2200 | DIA | Message | More than a gift, moment that last - 16 - 31 Aug 26  [BKK]",45-54,female,5704,16536,855,100,1327,THB,1.59165318,13.60863467,8.02491534,1360.863467,1/8/2026,31/8/2026
2200 | DIA | Awareness | A gift of Grace A Present of Pearls | 1 - 31 Aug 26,Awareness  - A gift of Grace A Present of Pearls | 1 - 31 Aug 26,2200 | DIA | Awareness  | A gift of Grace A Present of Pearls | 1 - 31 Aug 26 [Other-Province],18-24,male,84063,148082,161,,164,THB,7.79447833,,0.11074945,1254.911012,1/8/2026,31/8/2026
2200 | DIA | Message | Wedding Package | 1 - 31 Aug 26,Message - Wedding Package -1 - 31 Aug 26,2200 | DIA | Message | Wedding Package | 1 - 31 Aug 266  [BKK],35-44,female,2152,7025,772,14,988,THB,1.61121196,88.84683086,14.06405694,1243.855632,1/8/2026,31/8/2026
