Campaign name,Ad name,Ad set name,Age,Gender,Reach,Impressions,Post engagements,Messaging conversations started,Clicks (all),Currency,Cost per post engagement,Cost per messaging conversation started,CTR (all),Amount spent (THB),Reporting starts,Reporting ends
2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26,Awareness | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province],25-34,male,120588,179986,370,,154,THB,3.95110744,,0.08556221,1461.909754,1/6/2026,30/6/2026
2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26,Awareness | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province],25-34,male,94807,123650,281,1,125,THB,3.19737439,898.4622029,0.10109179,898.4622029,1/6/2026,30/6/2026
2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26,Awareness | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province],35-44,male,72870,110618,200,,78,THB,4.43007956,,0.07051294,886.0159116,1/6/2026,30/6/2026
2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26,Awareness | NEW ARRIVALS | 16 - 30 June 26,2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26,25-34,male,67816,92808,79,,107,THB,10.88359186,,0.11529179,859.8037569,1/6/2026,30/6/2026
2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26,Awareness | MID YEAR SALE | 16 - 30 June 26,2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26,25-34,male,65043,87917,65,1,90,THB,12.67533044,823.8964783,0.10236928,823.8964783,1/6/2026,30/6/2026
2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26,Awareness | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province],35-44,male,75175,98830,240,1,104,THB,2.9516082,708.385968,0.10523121,708.385968,1/6/2026,30/6/2026
2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26,Awareness | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province],45-54,male,57764,87561,163,1,60,THB,4.34205351,707.7547222,0.06852366,707.7547222,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],18-24,male,53112,76770,163,,63,THB,3.97347543,,0.08206331,647.6764956,1/6/2026,30/6/2026
2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26,Awareness | MID YEAR SALE | 16 - 30 June 26,2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26,35-44,male,50045,65995,39,,70,THB,15.85800947,,0.10606864,618.4623695,1/6/2026,30/6/2026
2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26,Awareness | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province],55-64,male,49790,76222,194,,65,THB,3.17723769,,0.08527722,616.3841126,1/6/2026,30/6/2026
2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26,Awareness | NEW ARRIVALS | 16 - 30 June 26,2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26,18-24,male,41569,60134,36,,36,THB,16.94582669,,0.0598663,610.0497608,1/6/2026,30/6/2026
2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK],35-44,female,3382,9979,202,31,438,THB,2.92138614,19.03612903,4.38921736,590.12,1/6/2026,30/6/2026
2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26,Awareness | NEW ARRIVALS | 16 - 30 June 26,2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26,35-44,male,46839,63377,39,1,52,THB,15.0733181,587.8594058,0.08204869,587.8594058,1/6/2026,30/6/2026
2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26,Awareness | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK],25-34,male,64903,78966,250,1,116,THB,2.29160685,572.9017126,0.14689867,572.9017126,1/6/2026,30/6/2026
2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26,Awareness | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province],45-54,male,58567,77671,186,,62,THB,3.00891889,,0.07982387,559.6589141,1/6/2026,30/6/2026
2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26,Pearl | Message | Pearl with Pride | 1 - 30 June 26,2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26  [BKK],35-44,female,2668,6425,122,21,310,THB,4.44418856,25.81861926,4.82490272,542.1910046,1/6/2026,30/6/2026
2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26,Awareness | MID YEAR SALE | 16 - 30 June 26,2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26,45-54,male,35800,54670,23,,31,THB,23.26829146,,0.05670386,535.1707037,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],18-24,female,44235,59151,201,,97,THB,2.58323959,,0.16398708,519.2311569,1/6/2026,30/6/2026
2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26,Awareness | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province],55-64,female,45343,65387,230,,81,THB,2.25636288,,0.12387784,518.9634626,1/6/2026,30/6/2026
2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26,Awareness | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [BKK],55-64,female,51027,70507,220,2,134,THB,2.32610272,255.8712987,0.19005205,511.7425973,1/6/2026,30/6/2026
2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26,Awareness | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Awareness | Love is Sparkle | 1 - 15 June 26 [Other-Province],55-64,male,51974,70023,200,,73,THB,2.53299983,,0.10425146,506.5999651,1/6/2026,30/6/2026
2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26,Awareness | NEW ARRIVALS | 16 - 30 June 26,2200 | DIA | Awareness | NEW ARRIVALS | 16 - 30 June 26,45-54,male,34457,51226,42,2,51,THB,11.88447587,249.5739932,0.09955882,499.1479864,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [BKK],35-44,female,1990,5494,87,12,195,THB,5.6583908,41.02333333,3.54932654,492.28,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26 [Other-Province],18-24,male,41767,60368,138,,60,THB,3.51742822,,0.09939041,485.4050941,1/6/2026,30/6/2026
2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26,Awareness | MID YEAR SALE | 16 - 30 June 26,2200 | DIA | Awareness | MID YEAR SALE | 16 - 30 June 26,55-64,male,31660,49370,27,,35,THB,17.83443077,,0.07089326,481.5296308,1/6/2026,30/6/2026
