"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"2200 | BU DIA | Message | Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง | 1 - 31 May 26","Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง","2200 | BU DIA | Message | Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง | 1 - 31 May 26 [BKK]",35-44,female,9937,31445,2483,59,2990,THB,1.09020163,45.88085862,9.50866592,2706.97065875,2026-05-01,2026-05-31
"2200 | BU DIA | Engage | Wedding Package Aurora Diamond | 3 - 31 May 26","Wedding Package Aurora Diamond | 3 - 31 May 26","2200 | BU DIA | Engage | Wedding Package Aurora Diamond | 3 - 31 May 26 [BKK]",25-34,female,7737,23787,1921,57,2484,THB,1.31540241,44.33136893,10.44267877,2526.8880292,2026-05-01,2026-05-31
"2200 | BU DIA | Message | May Your Diamond Shine Forever - B | 16 - 31 May 26","May Your Diamond Shine Forever - B | 16 - 31 May 26","2200 | BU DIA | Message | May Your Diamond Shine Forever - B | 16 - 31 May 26",35-44,female,12761,35125,2040,53,2687,THB,1.0615098,40.85811321,7.64982206,2165.48,2026-05-01,2026-05-31
"2200 | BU DIA | Message | May Your Diamond Shine Forever - A | 16 - 31 May 26","May Your Diamond Shine Forever - A | 16 - 31 May 26","2200 | BU DIA | Message | May Your Diamond Shine Forever - A | 16 - 31 May 26",35-44,female,11259,31356,1872,65,2524,THB,1.08191815,31.15924284,8.04949611,2025.35078429,2026-05-01,2026-05-31
"2200 | BU DIA | Message | Pearl of Grace | 1 - 31 May 26","Pearl of Grace | 1 - 31 May 26","2200 | BU DIA | Message | Pearl of Grace | 1 - 31 May 26 [BKK]",35-44,female,8788,24509,1504,36,1933,THB,1.29141732,53.95254565,7.88689869,1942.29164326,2026-05-01,2026-05-31
"2200 | BU DIA | Message | Summer Shine | LEVA Collection | 2 - 31 May 26","Summer Shine | LEVA Collection","2200 | BU DIA | Message | Summer Shine | LEVA Collection | 2 - 31 May 26",35-44,female,6340,19561,1041,13,1280,THB,1.74394776,139.64997043,6.54363274,1815.44961559,2026-05-01,2026-05-31
"2200 | BU DIA | Message | Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง | 1 - 31 May 26","Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง","2200 | BU DIA | Message | Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง | 1 - 31 May 26 [BKK]",45-54,female,5348,15360,1553,35,1846,THB,1.03376506,45.86963269,12.01822917,1605.43714422,2026-05-01,2026-05-31
"2200 | BU DIA | Message | Summer Shine | LEVA Collection | 2 - 31 May 26","Summer Shine | LEVA Collection","2200 | BU DIA | Message | Summer Shine | LEVA Collection | 2 - 31 May 26",25-34,female,5476,17314,668,15,988,THB,2.28446688,101.73492524,5.70636479,1526.02387857,2026-05-01,2026-05-31
"2200 | BU DIA | Engage | Wedding Package Aurora Diamond | 3 - 31 May 26","Wedding Package Aurora Diamond | 3 - 31 May 26","2200 | BU DIA | Engage | Wedding Package Aurora Diamond | 3 - 31 May 26 [BKK]",35-44,female,3734,10579,953,18,1171,THB,1.5930502,84.34315779,11.06909916,1518.17684019,2026-05-01,2026-05-31
"2200 | BU DIA | Message | Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง | 1 - 31 May 26","Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง","2200 | BU DIA | Message | Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง | 1 - 31 May 26 [BKK]",25-34,female,6528,19673,1176,30,1536,THB,1.25771149,49.30229035,7.80765516,1479.0687106,2026-05-01,2026-05-31
"2200 | BU DIA x Pearl | Message | Pearl of Grace | 1 - 31 May 26","[Page Pearl]  Pearl of Grace | 1 - 31 May 26","2200 | BU DIA x Pearl | Message | Pearl of Grace | 1 - 31 May 26 [BKK]",35-44,female,12185,23803,1039,25,880,THB,1.29907215,53.98943872,3.69701298,1349.73596794,2026-05-01,2026-05-31
"2200 | BU DIA | Message | Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง | 1 - 31 May 26","Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง","2200 | BU DIA | Message | Shine Your way | เปล่งประกายในงบที่คุณเข้าถึง | 1 - 31 May 26 [Other Province]",35-44,female,6317,16885,1152,13,1391,THB,1.09597128,97.11991626,8.23808114,1262.55891142,2026-05-01,2026-05-31
"2200 | BU DIA | Message | Pearl of Grace | 1 - 31 May 26","Pearl of Grace | 1 - 31 May 26","2200 | BU DIA | Message | Pearl of Grace | 1 - 31 May 26 [Other Province]",35-44,female,6441,17564,1027,27,1250,THB,1.19738094,45.54482335,7.11682988,1229.71023047,2026-05-01,2026-05-31
