"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","2200 | DIA | Message |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26 [Other-Province]",35-44,female,6652,23924,1596,42,2021,THB,1.36973729,52.05001705,8.44758402,2186.10071594,2026-09-01,2026-09-23
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","2200 | DIA | Message | 𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26  [BKK]",35-44,female,6562,22574,1802,29,2251,THB,1.13282415,70.39134901,9.9716488,2041.34912135,2026-09-01,2026-09-23
"2200 | DIA | Awareness | 𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","Awareness  - 𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","2200 | DIA | Awareness  | 𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26 [Other-Province]",25-34,male,153166,197010,287,1,454,THB,5.7719864,1656.56009696,0.23044516,1656.56009696,2026-09-01,2026-09-23
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26","2200 | DIA | Message | 𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26 [Other-Province]",35-44,female,7760,22978,730,97,1251,THB,2.24439336,16.89079537,5.44433806,1638.40715084,2026-09-01,2026-09-23
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","2200 | DIA | Message |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26 [Other-Province]",25-34,female,6063,22121,1110,33,1442,THB,1.47194652,49.51092847,6.51869264,1633.86063965,2026-09-01,2026-09-23
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","2200 | DIA | Message | 𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26  [BKK]",25-34,female,5837,20283,1217,25,1593,THB,1.2871262,62.65730362,7.85386777,1566.4325906,2026-09-01,2026-09-23
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","2200 | DIA | Message |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26 [Other-Province]",45-54,female,3107,9353,731,21,914,THB,1.75446916,61.07223587,9.77226558,1282.51695327,2026-09-01,2026-09-23
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26","2200 | DIA | Message | 𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 เครื่องประดับเพชรแท้ ลดแรงสูงสุดในรอบปี | 𝐀𝐮𝐫𝐨𝐫𝐚 𝐃𝐢𝐚𝐦𝐨𝐧𝐝 | 1 - 14 Sep 26  [BKK]",45-54,female,3195,9826,922,22,1186,THB,1.35714551,56.87673474,12.07001832,1251.28816429,2026-09-01,2026-09-23
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26","2200 | DIA | Message | 𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26 [Other-Province]",45-54,female,4619,13391,660,73,1017,THB,1.74676569,15.79267607,7.59465313,1152.86535328,2026-09-01,2026-09-23
"2200 | DIA | Message  |  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26","Message -  𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26","2200 | DIA | Message |𝑮𝒓𝒂𝒏𝒅 𝑺𝒂𝒍𝒆 ลดครั้งยิ่งใหญ่ที่สุดในรอบปี สูงสุด 𝟕𝟎% | 1 - 30 Sep 26  [BKK]",35-44,female,5099,13904,508,55,946,THB,2.05629292,18.99266912,6.80379747,1044.5968014,2026-09-01,2026-09-23
