"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Message | One Price เพชรแท้ราคาเดียว | 1-19 Mar 26","One Price เพชรแท้ราคาเดียว","3020 | BU DIA | Message | One Price เพชรแท้ราคาเดียว | 1-19 Mar 26  [Interest-BKK]",35-44,female,7590,19057,867,53,1362,THB,1.19352081,19.52419896,7.14698011,1034.78254493,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA | Message | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest-BKK]",35-44,female,5201,13678,1303,54,1739,THB,0.71006142,17.13351907,12.71384705,925.21002988,2026-03-01,2026-03-31
"3020 | BU DIA | Message |  Blossom and Glow | Sale up to 50%  | 16-31 Mar 26","Blossom and Glow | Sale up to 50%","3020 | BU DIA | Message |  Blossom and Glow | Sale up to 50%  | 16-31 Mar 26  [Interest]",35-44,female,4292,15702,991,19,1309,THB,0.85759518,44.73035889,8.33651764,849.87681898,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Sparkle in Spring sale up to 60% | 1-15 Mar 26","Sparkle in Spring sale up to 60% | 1-15 Mar 26","3020 | BU DIA | Message | Sparkle in Spring sale up to 60% | 1-15 Mar 26  [Interest]",35-44,female,4635,13291,979,25,1347,THB,0.81789651,32.02882739,10.1346776,800.72068467,2026-03-01,2026-03-31
"3020 | BU DIA | Message | LEVA Collection | 1-19 Mar 26","LEVA Collection | 1-19 Mar 26","3020 | BU DIA | Message | LEVA Collection | 1-19 Mar 26  [Interest]",25-34,female,3334,11313,180,18,489,THB,4.41811112,44.18111123,4.32246089,795.26000208,2026-03-01,2026-03-31
"3020 | BU DIA | Message | One Price เพชรแท้ราคาเดียว | 1-19 Mar 26","One Price เพชรแท้ราคาเดียว","3020 | BU DIA | Message | One Price เพชรแท้ราคาเดียว | 1-19 Mar 26  [Interest-BKK]",25-34,female,5384,12439,336,25,670,THB,1.83633585,24.68035384,5.38628507,617.0088459,2026-03-01,2026-03-31
"3020 | BU DIA | Message | One Price เพชรแท้ราคาเดียว | 1-19 Mar 26","One Price เพชรแท้ราคาเดียว","3020 | BU DIA | Message | One Price เพชรแท้ราคาเดียว | 1-19 Mar 26  [Interest-BKK]",45-54,female,4125,9436,630,40,881,THB,0.9644241,15.1896796,9.3365833,607.58718383,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA | Message | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest-BKK]",45-54,female,2460,6377,675,30,880,THB,0.8648062,19.45813947,13.79959228,583.74418406,2026-03-01,2026-03-31
"3020 | BU DIA | Message | LEVA Collection | 1-19 Mar 26","LEVA Collection | 1-19 Mar 26","3020 | BU DIA | Message | LEVA Collection | 1-19 Mar 26 [Interest-BKK]",25-34,female,2038,5941,63,9,231,THB,9.1610087,64.12706088,3.8882343,577.14354791,2026-03-01,2026-03-31
"3020 | BU DIA-Pearl | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA-Pearl  | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest]",25-34,male,9803,15304,156,,120,THB,3.67486298,,0.78410873,573.27862445,2026-03-01,2026-03-31
"3020 | BU DIA | Message |  Blossom and Glow | Sale up to 50%  | 16-31 Mar 26","Blossom and Glow | Sale up to 50%","3020 | BU DIA | Message |  Blossom and Glow | Sale up to 50%  | 16-31 Mar 26  [Interest]",25-34,female,3668,11953,534,20,784,THB,0.98906706,26.40809043,6.55902284,528.16180857,2026-03-01,2026-03-31
"3020 | BU DIA-Pearl | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA-Pearl  | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest]",25-34,female,6857,10544,179,1,145,THB,2.74563587,491.46882075,1.37518968,491.46882075,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Wedding Package Aurora Diamond |  2-31 Mar 26","Wedding Package Aurora Diamond |  2-31 Mar 26","3020 | BU DIA | Message | Wedding Package Aurora Diamond |  2-31 Mar 26 [Interest-BKK]",25-34,female,1698,3927,311,9,409,THB,1.54018779,53.22204479,10.41507512,478.99840311,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Sparkle in Spring sale up to 60% | 1-15 Mar 26","Sparkle in Spring sale up to 60% | 1-15 Mar 26","3020 | BU DIA | Message | Sparkle in Spring sale up to 60% | 1-15 Mar 26  [Interest-BKK]",35-44,female,2795,6988,550,21,745,THB,0.84576956,22.15110748,10.66113337,465.17325703,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Wedding Package Aurora Diamond |  2-31 Mar 26","Wedding Package Aurora Diamond |  2-31 Mar 26","3020 | BU DIA | Message | Wedding Package Aurora Diamond |  2-31 Mar 26 [Interest]",25-34,female,2158,5444,454,18,639,THB,1.01809683,25.67866441,11.73769287,462.21595933,2026-03-01,2026-03-31
"3020 | BU DIA-Pearl | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA-Pearl  | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest]",45-54,female,4807,6870,215,1,154,THB,2.14501811,461.17889343,2.24163028,461.17889343,2026-03-01,2026-03-31
"3020 | BU DIA-Pearl | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA-Pearl  | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest]",55-64,female,4704,6666,199,,148,THB,2.30115026,,2.22022202,457.92890123,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA | Message | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest-BKK]",25-34,female,3324,8116,619,23,866,THB,0.71039303,19.11883842,10.67028093,439.73328376,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Sparkle in Spring sale up to 60% | 1-15 Mar 26","Sparkle in Spring sale up to 60% | 1-15 Mar 26","3020 | BU DIA | Message | Sparkle in Spring sale up to 60% | 1-15 Mar 26  [Interest]",25-34,female,2944,8236,463,25,672,THB,0.92805169,17.18751725,8.15930063,429.68793127,2026-03-01,2026-03-31
"3020 | BU DIA | Message |  Blossom and Glow | Sale up to 50%  | 16-31 Mar 26","Blossom and Glow | Sale up to 50%","3020 | BU DIA | Message |  Blossom and Glow | Sale up to 50%  | 16-31 Mar 26  [Interest-BKK]",35-44,female,1941,6246,434,15,546,THB,0.98903226,28.616,8.74159462,429.24,2026-03-01,2026-03-31
"3020 | BU DIA | Message | LEVA Collection | 1-19 Mar 26","LEVA Collection | 1-19 Mar 26","3020 | BU DIA | Message | LEVA Collection | 1-19 Mar 26  [Interest]",35-44,female,1875,5558,73,9,228,THB,5.58815247,45.32612563,4.10219503,407.93513065,2026-03-01,2026-03-31
"3020 | BU DIA-Pearl | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA-Pearl  | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest]",35-44,female,4810,7259,149,,119,THB,2.60247698,,1.63934426,387.76906957,2026-03-01,2026-03-31
"3020 | BU DIA-Pearl | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA-Pearl  | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest]",35-44,male,6251,9480,109,,74,THB,3.48412008,,0.78059072,379.76908877,2026-03-01,2026-03-31
"3020 | BU DIA-Pearl | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA-Pearl  | Engage | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest]",45-54,male,5857,8355,126,,83,THB,2.7115808,,0.99341712,341.65918021,2026-03-01,2026-03-31
"3020 | BU DIA | Message |  Blossom and Glow | Sale up to 50%  | 16-31 Mar 26","Blossom and Glow | Sale up to 50%","3020 | BU DIA | Message |  Blossom and Glow | Sale up to 50%  | 16-31 Mar 26  [Interest]",45-54,female,1709,5551,507,11,623,THB,0.67018684,30.88952092,11.22320303,339.78473017,2026-03-01,2026-03-31
"3020 | BU DIA | Engage | New Arrival เครื่องประดับมุกแท้ | 3-31 Mar 26","New Arrival เครื่องประดับมุกแท้ | 3-31 Mar 26","3020 | BU DIA | Engage | New Arrival เครื่องประดับมุกแท้ | 3-31 Mar 26 [Interest]",25-34,male,5100,7822,68,,60,THB,4.90003072,,0.76706725,333.20208913,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Sparkle in Spring sale up to 60% | 1-15 Mar 26","Sparkle in Spring sale up to 60% | 1-15 Mar 26","3020 | BU DIA | Message | Sparkle in Spring sale up to 60% | 1-15 Mar 26  [Interest]",45-54,female,2112,5080,484,12,647,THB,0.67615473,27.2715741,12.73622047,327.25888921,2026-03-01,2026-03-31
"3020 | BU DIA | Message | Blooming Season  Sale up to 70% | 1-31 Mar 26","Blooming Season  Sale up to 70% | 1-31 Mar 26","3020 | BU DIA | Message | Blooming Season  Sale up to 70% | 1-31 Mar 26 [Interest]",35-44,female,2489,5372,459,15,592,THB,0.69298475,21.20533333,11.02010424,318.08,2026-03-01,2026-03-31
