Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Bangkok,79980,176059,6132,,6322,THB,2.82149621,,3.59084171,17301.41475735,2026-04-01,2026-04-30
"Chon Buri",6590,16697,485,,593,THB,2.71605946,,3.5515362,1317.28883946,2026-04-01,2026-04-30
Songkhla,4592,9949,224,,245,THB,2.93280992,,2.46255905,656.94942122,2026-04-01,2026-04-30
"Nakhon Ratchasima",5264,11445,263,,299,THB,2.47771645,,2.61249454,651.6394259,2026-04-01,2026-04-30
"Khon Kaen",3333,7514,204,,213,THB,3.14955605,,2.83470854,642.50943395,2026-04-01,2026-04-30
"Chiang Mai",4610,9584,175,,216,THB,3.52502547,,2.25375626,616.87945653,2026-04-01,2026-04-30
Rayong,2882,6684,205,,253,THB,2.54775385,,3.78515859,522.28953986,2026-04-01,2026-04-30
"Pathum Thani",2992,7066,194,,216,THB,2.60515234,,3.05689216,505.39955474,2026-04-01,2026-04-30
"Nakhon Si Thammarat",3184,7136,172,,183,THB,2.81743938,,2.56446188,484.59957306,2026-04-01,2026-04-30
"Samut Prakan",2047,5167,142,,173,THB,3.12633527,,3.34817109,443.93960889,2026-04-01,2026-04-30
"Lop Buri",1424,3139,86,,84,THB,5.02708859,,2.67601147,432.32961912,2026-04-01,2026-04-30
"Surat Thani",3074,6431,161,,172,THB,2.650184,,2.67454517,426.67962409,2026-04-01,2026-04-30
Nonthaburi,2375,5476,172,,217,THB,2.39104441,,3.96274653,411.25963768,2026-04-01,2026-04-30
Phuket,2178,5268,138,,163,THB,2.96659159,,3.09415338,409.38963933,2026-04-01,2026-04-30
Kanchanaburi,1430,2937,77,,66,THB,4.52713887,,2.24719101,348.58969289,2026-04-01,2026-04-30
Ayutthaya,1942,4884,135,,139,THB,2.50873853,,2.84602785,338.67970162,2026-04-01,2026-04-30
"Udon Thani",2727,5997,179,,180,THB,1.86943969,,3.00150075,334.62970519,2026-04-01,2026-04-30
"Ubon Ratchathani",2754,5446,165,,184,THB,1.9724225,,3.37862651,325.44971328,2026-04-01,2026-04-30
"Prachuap Khiri Khan",1143,2985,91,,92,THB,3.56779905,,3.08207705,324.66971396,2026-04-01,2026-04-30
"Nakhon Pathom",2044,4364,81,,91,THB,3.73468807,,2.0852429,302.50973349,2026-04-01,2026-04-30
"Nakhon Sawan",1695,3461,98,,99,THB,2.91816069,,2.86044496,285.97974805,2026-04-01,2026-04-30
"Chiang Rai",2196,4757,106,,118,THB,2.467545,,2.48055497,261.55976956,2026-04-01,2026-04-30
Buriram,2076,4154,103,,100,THB,2.28359022,,2.40731825,235.20979278,2026-04-01,2026-04-30
Chachoengsao,1424,3289,97,,106,THB,2.15113213,,3.22286409,208.65981617,2026-04-01,2026-04-30
Phitsanulok,2009,4057,89,,95,THB,2.31011032,,2.34163175,205.59981887,2026-04-01,2026-04-30
Krabi,1299,3029,82,,85,THB,2.50011975,,2.80620667,205.00981939,2026-04-01,2026-04-30
"Maha Sarakham",1619,3121,96,,110,THB,2.12051897,,3.52451137,203.56982065,2026-04-01,2026-04-30
Saraburi,1567,3718,98,,97,THB,2.05959002,,2.60892953,201.83982218,2026-04-01,2026-04-30
Surin,1808,3686,68,,67,THB,2.95661504,,1.81768855,201.04982287,2026-04-01,2026-04-30
"Samut Sakhon",1214,2375,50,,58,THB,4.01999646,,2.44210526,200.99982292,2026-04-01,2026-04-30
Chanthaburi,1314,2892,72,,71,THB,2.73027537,,2.45504841,196.57982681,2026-04-01,2026-04-30
"Roi Et",1688,3476,86,,108,THB,2.16941669,,3.10701956,186.56983563,2026-04-01,2026-04-30
Ratchaburi,1539,3109,80,,86,THB,2.31974796,,2.76616275,185.5798365,2026-04-01,2026-04-30
Yasothon,665,1520,44,,46,THB,4.12158728,,3.02631579,181.34984023,2026-04-01,2026-04-30
"Nakhon Phanom",953,1961,48,,49,THB,3.64687179,,2.49872514,175.04984578,2026-04-01,2026-04-30
Lampang,1220,2825,62,,67,THB,2.80983623,,2.37168142,174.20984652,2026-04-01,2026-04-30
"Sakon Nakhon",1679,3420,103,,104,THB,1.60329956,,3.04093567,165.13985451,2026-04-01,2026-04-30
Trang,1282,2645,64,,55,THB,2.57546648,,2.07939509,164.82985478,2026-04-01,2026-04-30
Phetchabun,1223,2312,54,,66,THB,3.01370105,,2.85467128,162.73985663,2026-04-01,2026-04-30
Sisaket,1591,3107,72,,71,THB,2.19291473,,2.28516254,157.8898609,2026-04-01,2026-04-30
Pattani,1982,3426,35,,16,THB,4.41456754,,0.46701693,154.50986388,2026-04-01,2026-04-30
Loei,1021,2051,45,,29,THB,3.41333033,,1.41394442,153.59986468,2026-04-01,2026-04-30
Tak,992,1996,35,,47,THB,4.11571066,,2.35470942,144.04987309,2026-04-01,2026-04-30
"Prachin Buri",1234,2462,56,,65,THB,2.53249777,,2.64012998,141.81987506,2026-04-01,2026-04-30
Chumphon,1021,2315,51,,50,THB,2.73823288,,2.15982721,139.64987697,2026-04-01,2026-04-30
"Suphan Buri",1223,2718,65,,75,THB,2.12922889,,2.7593819,138.39987807,2026-04-01,2026-04-30
Chaiyaphum,1249,2464,60,,71,THB,2.20383139,,2.88149351,132.2298835,2026-04-01,2026-04-30
Kalasin,1088,2225,41,,50,THB,3.22121667,,2.24719101,132.06988365,2026-04-01,2026-04-30
"Yala Province",1664,2959,28,,20,THB,4.50963888,,0.67590402,126.26988876,2026-04-01,2026-04-30
Phatthalung,1043,1949,45,,37,THB,2.72933093,,1.89840944,122.81989179,2026-04-01,2026-04-30
"Nong Khai",844,1623,32,,27,THB,3.59749683,,1.66358595,115.11989858,2026-04-01,2026-04-30
Narathiwat,1739,2837,15,,11,THB,7.35999352,,0.38773352,110.39990274,2026-04-01,2026-04-30
"Kamphaeng Phet",1039,2237,38,,44,THB,2.88526062,,1.96691998,109.63990341,2026-04-01,2026-04-30
Lamphun,750,1407,32,,26,THB,3.39874701,,1.84790334,108.75990418,2026-04-01,2026-04-30
Satun,584,1243,18,,10,THB,5.9161059,,0.80450523,106.48990618,2026-04-01,2026-04-30
"Sa Kaeo",953,2135,65,,76,THB,1.44707565,,3.55971897,94.05991713,2026-04-01,2026-04-30
Nan,537,901,16,,18,THB,5.3337453,,1.99778024,85.33992482,2026-04-01,2026-04-30
Phetchaburi,934,1711,49,,55,THB,1.73795765,,3.21449445,85.15992497,2026-04-01,2026-04-30
"Bueng Kan",599,1231,26,,24,THB,3.19730488,,1.94963444,83.12992676,2026-04-01,2026-04-30
"Nong Bua Lam Phu",678,1367,33,,43,THB,2.43211907,,3.14557425,80.25992929,2026-04-01,2026-04-30
Phrae,632,1385,22,,21,THB,3.61817863,,1.51624549,79.59992987,2026-04-01,2026-04-30
Phangnga,636,1217,29,,24,THB,2.71551485,,1.97206245,78.74993062,2026-04-01,2026-04-30
Uttaradit,740,1663,23,,15,THB,3.25912756,,0.90198437,74.95993396,2026-04-01,2026-04-30
"Chai Nat",495,931,19,,17,THB,3.79947034,,1.82599356,72.1899364,2026-04-01,2026-04-30
Phichit,689,1638,38,,50,THB,1.82578787,,3.05250305,69.37993888,2026-04-01,2026-04-30
Sukhothai,759,1411,25,,21,THB,2.57479773,,1.48830617,64.36994329,2026-04-01,2026-04-30
Phayao,678,1270,15,,18,THB,4.0073298,,1.41732283,60.10994704,2026-04-01,2026-04-30
"Nakhon Nayok",415,812,24,,18,THB,2.29708131,,2.21674877,55.12995143,2026-04-01,2026-04-30
Mukdahan,476,1082,25,,39,THB,2.08159817,,3.60443623,52.03995415,2026-04-01,2026-04-30
"Ang Thong",420,963,25,,26,THB,2.05959819,,2.69989616,51.48995464,2026-04-01,2026-04-30
Ranong,386,737,7,,9,THB,7.29570786,,1.22116689,51.06995501,2026-04-01,2026-04-30
"Mae Hong Son",356,669,18,,23,THB,2.15944254,,3.43796712,38.86996576,2026-04-01,2026-04-30
"Uthai Thani",434,758,15,,15,THB,2.58933105,,1.97889182,38.83996578,2026-04-01,2026-04-30
Trat,429,821,11,,10,THB,3.45817877,,1.2180268,38.03996649,2026-04-01,2026-04-30
"Amnat Charoen",450,786,18,,21,THB,1.90166499,,2.67175573,34.22996984,2026-04-01,2026-04-30
"Samut Songkhram",296,558,11,,7,THB,3.07090639,,1.25448029,33.77997024,2026-04-01,2026-04-30
"Sing Buri",353,623,20,,20,THB,1.34899881,,3.21027287,26.97997623,2026-04-01,2026-04-30
Unknown,216,268,1,,1,THB,11.86998954,,0.37313433,11.86998954,2026-04-01,2026-04-30
