Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Bangkok,112529,334013,24548,,30182,THB,0.99479616,,9.03617524,24420.2561174,2026-02-01,2026-02-28
"Pathum Thani",6783,22820,1653,,2100,THB,0.94333546,,9.20245399,1559.33351523,2026-02-01,2026-02-28
Nonthaburi,6150,19290,1447,,1839,THB,1.0210044,,9.53343701,1477.3933622,2026-02-01,2026-02-28
"Samut Prakan",6459,20050,1502,,1868,THB,0.96933295,,9.31670823,1455.93808531,2026-02-01,2026-02-28
"Chon Buri",6300,21768,1644,,2181,THB,0.86288254,,10.01929438,1418.57889689,2026-02-01,2026-02-28
"Nakhon Ratchasima",3690,12502,872,,1110,THB,0.8723017,,8.87857943,760.64707976,2026-02-01,2026-02-28
Songkhla,2935,10316,696,,902,THB,1.03593007,,8.74369911,721.00733044,2026-02-01,2026-02-28
Rayong,2631,9798,729,,962,THB,0.80676907,,9.81833027,588.13465064,2026-02-01,2026-02-28
"Samut Sakhon",3370,8704,559,,703,THB,1.04546285,,8.07674632,584.41373549,2026-02-01,2026-02-28
"Nakhon Pathom",2801,7492,474,,589,THB,1.14766623,,7.86171917,543.99379428,2026-02-01,2026-02-28
"Chiang Mai",2836,8348,651,,845,THB,0.78198956,,10.12218495,509.07520612,2026-02-01,2026-02-28
"Surat Thani",2552,8116,506,,659,THB,0.99140984,,8.11976343,501.65338073,2026-02-01,2026-02-28
"Khon Kaen",2463,8270,600,,780,THB,0.82737016,,9.43168077,496.42209411,2026-02-01,2026-02-28
Phuket,2016,6628,480,,620,THB,1.01695845,,9.35425468,488.14005716,2026-02-01,2026-02-28
"Nakhon Si Thammarat",2559,8647,554,,656,THB,0.83143193,,7.58644617,460.613287,2026-02-01,2026-02-28
"Udon Thani",2140,7493,557,,723,THB,0.71464614,,9.64900574,398.05790161,2026-02-01,2026-02-28
"Ubon Ratchathani",2220,6674,449,,552,THB,0.87818926,,8.27090201,394.30697908,2026-02-01,2026-02-28
"Chiang Rai",1580,6123,470,,611,THB,0.76620972,,9.97876858,360.1185705,2026-02-01,2026-02-28
Ayutthaya,1909,5975,372,,478,THB,0.95391741,,8,354.8572765,2026-02-01,2026-02-28
"Roi Et",1279,4265,281,,348,THB,1.12251807,,8.15943728,315.42757884,2026-02-01,2026-02-28
"Sakon Nakhon",1242,4709,304,,383,THB,0.96579675,,8.13336165,293.60221093,2026-02-01,2026-02-28
Chachoengsao,1637,5490,368,,500,THB,0.78103449,,9.10746812,287.42069059,2026-02-01,2026-02-28
Buriram,1466,4495,287,,344,THB,0.9509656,,7.65294772,272.92712593,2026-02-01,2026-02-28
Saraburi,1430,4886,322,,430,THB,0.82001535,,8.80065493,264.04494137,2026-02-01,2026-02-28
Krabi,1068,3030,183,,220,THB,1.37148486,,7.26072607,250.9817285,2026-02-01,2026-02-28
Phitsanulok,1177,4023,285,,369,THB,0.86098369,,9.17225951,245.38035085,2026-02-01,2026-02-28
"Nakhon Sawan",1516,4422,272,,382,THB,0.89904465,,8.63862506,244.5401442,2026-02-01,2026-02-28
Surin,1212,3795,255,,318,THB,0.91261661,,8.37944664,232.71723638,2026-02-01,2026-02-28
Sisaket,1194,3055,209,,247,THB,1.0897417,,8.08510638,227.75601618,2026-02-01,2026-02-28
"Prachin Buri",1034,3440,248,,313,THB,0.8829591,,9.09883721,218.97385622,2026-02-01,2026-02-28
Ratchaburi,1152,3800,229,,303,THB,0.91349978,,7.97368421,209.19145026,2026-02-01,2026-02-28
"Maha Sarakham",945,3144,225,,272,THB,0.9059117,,8.65139949,203.83013165,2026-02-01,2026-02-28
Chaiyaphum,1079,3417,192,,253,THB,1.01358262,,7.40415569,194.60786345,2026-02-01,2026-02-28
Kanchanaburi,1301,3611,237,,298,THB,0.80817345,,8.25256162,191.5371082,2026-02-01,2026-02-28
Lampang,883,3228,222,,299,THB,0.86030168,,9.26270136,190.9869729,2026-02-01,2026-02-28
Chanthaburi,1196,3593,209,,278,THB,0.87107548,,7.73726691,182.05477604,2026-02-01,2026-02-28
"Nong Khai",702,2599,170,,228,THB,1.05802493,,8.77260485,179.86423728,2026-02-01,2026-02-28
"Lop Buri",1023,3287,222,,290,THB,0.78289525,,8.82263462,173.80274647,2026-02-01,2026-02-28
"Prachuap Khiri Khan",890,3012,190,,246,THB,0.89679951,,8.16733068,170.39190758,2026-02-01,2026-02-28
Trang,1010,2749,150,,182,THB,1.11720811,,6.62058931,167.58121629,2026-02-01,2026-02-28
Phetchaburi,727,2222,155,,204,THB,1.07607111,,9.18091809,166.79102195,2026-02-01,2026-02-28
Chumphon,1068,3244,221,,277,THB,0.74647319,,8.53884094,164.97057421,2026-02-01,2026-02-28
"Sa Kaeo",575,2165,146,,158,THB,1.02682789,,7.29792148,149.91687178,2026-02-01,2026-02-28
"Suphan Buri",1083,3129,189,,234,THB,0.77341773,,7.47842761,146.17595171,2026-02-01,2026-02-28
Kalasin,900,2709,131,,178,THB,1.07347012,,6.57069029,140.62458636,2026-02-01,2026-02-28
Tak,948,2331,120,,148,THB,1.08243289,,6.34920635,129.89194669,2026-02-01,2026-02-28
"Nakhon Phanom",737,2126,135,,163,THB,0.92296774,,7.66698024,124.6006453,2026-02-01,2026-02-28
Yasothon,444,1665,93,,136,THB,1.29741587,,8.16816817,120.65967603,2026-02-01,2026-02-28
Phetchabun,828,2129,111,,130,THB,1.06242346,,6.10615312,117.92900442,2026-02-01,2026-02-28
Loei,747,1819,106,,123,THB,1.04101075,,6.76195712,110.34713968,2026-02-01,2026-02-28
Phatthalung,662,1566,102,,132,THB,1.06506587,,8.42911877,108.636719,2026-02-01,2026-02-28
"Bueng Kan",391,1352,78,,86,THB,1.36354049,,6.36094675,106.3561581,2026-02-01,2026-02-28
Pattani,721,1749,95,,126,THB,1.11079951,,7.20411664,105.52595392,2026-02-01,2026-02-28
Mukdahan,508,1615,95,,114,THB,1.07310603,,7.05882353,101.9450732,2026-02-01,2026-02-28
"Yala Province",693,1700,104,,126,THB,0.97697105,,7.41176471,101.60498956,2026-02-01,2026-02-28
"Kamphaeng Phet",696,2250,142,,181,THB,0.71475326,,8.04444444,101.4949625,2026-02-01,2026-02-28
Satun,417,1540,84,,125,THB,1.17564629,,8.11688312,98.75428844,2026-02-01,2026-02-28
Sukhothai,642,1412,76,,91,THB,1.23635671,,6.44475921,93.96311006,2026-02-01,2026-02-28
Phayao,474,1748,95,,133,THB,0.91706766,,7.60869565,87.12142736,2026-02-01,2026-02-28
"Nong Bua Lam Phu",486,1506,96,,116,THB,0.89053152,,7.70252324,85.49102636,2026-02-01,2026-02-28
Phichit,538,1571,91,,105,THB,0.85669422,,6.68364099,77.95917392,2026-02-01,2026-02-28
Narathiwat,720,1492,44,,51,THB,1.62903702,,3.41823056,71.67762898,2026-02-01,2026-02-28
"Ang Thong",392,1347,75,,90,THB,0.9518341,,6.68151448,71.38755764,2026-02-01,2026-02-28
Phangnga,535,1266,65,,75,THB,0.9685459,,5.92417062,62.95548379,2026-02-01,2026-02-28
Phrae,430,1182,73,,96,THB,0.82718975,,8.12182741,60.38485154,2026-02-01,2026-02-28
Lamphun,464,1209,81,,106,THB,0.74376317,,8.76757651,60.2448171,2026-02-01,2026-02-28
Uttaradit,508,1190,44,,57,THB,1.36033457,,4.78991597,59.85472116,2026-02-01,2026-02-28
"Amnat Charoen",368,1011,79,,96,THB,0.72359569,,9.49554896,57.1640594,2026-02-01,2026-02-28
Nan,426,1037,61,,72,THB,0.93514803,,6.94310511,57.04402987,2026-02-01,2026-02-28
Trat,390,943,56,,75,THB,0.93219356,,7.9533404,52.20283919,2026-02-01,2026-02-28
