Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Bangkok,93119,317371,33010,,41391,THB,0.45530364,,13.04183432,15029.57302241,2026-01-01,2026-01-31
"Pathum Thani",6521,26303,2628,,3340,THB,0.51596484,,12.69817131,1355.95559293,2026-01-01,2026-01-31
"Chon Buri",6866,29640,2756,,3474,THB,0.48934478,,11.72064777,1348.63421287,2026-01-01,2026-01-31
"Samut Prakan",6141,23422,2375,,3037,THB,0.47509587,,12.96644181,1128.35269057,2026-01-01,2026-01-31
Nonthaburi,5496,19150,2012,,2482,THB,0.48588185,,12.96083551,977.59427313,2026-01-01,2026-01-31
"Nakhon Ratchasima",3448,15759,1383,,1719,THB,0.45994932,,10.90805254,636.10990451,2026-01-01,2026-01-31
Rayong,2527,12177,1171,,1517,THB,0.48781185,,12.45791246,571.22767444,2026-01-01,2026-01-31
"Chiang Mai",3111,11380,1073,,1339,THB,0.52646457,,11.76625659,564.89648103,2026-01-01,2026-01-31
Songkhla,2810,11057,1002,,1296,THB,0.53252553,,11.72108167,533.59057997,2026-01-01,2026-01-31
"Nakhon Si Thammarat",2140,10315,846,,1057,THB,0.55158151,,10.2472128,466.63795964,2026-01-01,2026-01-31
"Surat Thani",2240,8834,754,,985,THB,0.52283065,,11.15010188,394.21430803,2026-01-01,2026-01-31
"Khon Kaen",2463,10573,875,,1138,THB,0.44983336,,10.76326492,393.60419303,2026-01-01,2026-01-31
"Udon Thani",2190,10055,957,,1209,THB,0.40883359,,12.02386872,391.25374998,2026-01-01,2026-01-31
Phuket,2208,7972,767,,958,THB,0.49615611,,12.01705971,380.55173268,2026-01-01,2026-01-31
"Samut Sakhon",2166,7232,755,,924,THB,0.4701416,,12.77654867,354.95690815,2026-01-01,2026-01-31
"Ubon Ratchathani",2239,8701,769,,931,THB,0.44124052,,10.69991955,339.31395951,2026-01-01,2026-01-31
"Nakhon Pathom",2182,7013,659,,840,THB,0.47350352,,11.9777556,312.03881824,2026-01-01,2026-01-31
"Chiang Rai",1588,7196,679,,817,THB,0.45499004,,11.35352974,308.93823379,2026-01-01,2026-01-31
Ayutthaya,1957,6889,613,,746,THB,0.49542781,,10.8288576,303.69724588,2026-01-01,2026-01-31
Saraburi,1456,6273,546,,668,THB,0.45134881,,10.64881237,246.43645242,2026-01-01,2026-01-31
Chachoengsao,1584,5721,538,,701,THB,0.39743551,,12.2531026,213.82030439,2026-01-01,2026-01-31
Phitsanulok,1095,4563,379,,461,THB,0.54031293,,10.10300241,204.77860006,2026-01-01,2026-01-31
"Roi Et",1131,5183,401,,501,THB,0.50790122,,9.66621648,203.66839079,2026-01-01,2026-01-31
Lampang,959,4449,351,,443,THB,0.56845473,,9.95729377,199.52761026,2026-01-01,2026-01-31
"Nakhon Sawan",1650,6179,455,,583,THB,0.43115819,,9.43518369,196.17697868,2026-01-01,2026-01-31
"Sakon Nakhon",1136,5538,471,,611,THB,0.40986494,,11.03286385,193.04638858,2026-01-01,2026-01-31
Ratchaburi,1127,3971,353,,444,THB,0.51037949,,11.1810627,180.16396028,2026-01-01,2026-01-31
Chanthaburi,1311,5168,419,,531,THB,0.40327411,,10.2747678,168.97185061,2026-01-01,2026-01-31
Buriram,1277,4967,378,,478,THB,0.43693421,,9.6235152,165.1611323,2026-01-01,2026-01-31
"Nong Khai",669,3084,241,,319,THB,0.62239948,,10.34370947,149.99827415,2026-01-01,2026-01-31
"Maha Sarakham",844,3831,345,,417,THB,0.42019515,,10.88488645,144.96732584,2026-01-01,2026-01-31
Chaiyaphum,898,3825,329,,415,THB,0.43956614,,10.8496732,144.61725985,2026-01-01,2026-01-31
Kanchanaburi,974,3409,338,,418,THB,0.42685561,,12.26166031,144.27719575,2026-01-01,2026-01-31
"Lop Buri",956,4121,344,,418,THB,0.40734422,,10.14316913,140.12641334,2026-01-01,2026-01-31
Chumphon,788,3488,297,,356,THB,0.46688935,,10.20642202,138.66613809,2026-01-01,2026-01-31
Surin,959,3863,340,,445,THB,0.39963415,,11.5195444,135.87561208,2026-01-01,2026-01-31
"Prachin Buri",1018,3817,312,,407,THB,0.42857437,,10.66282421,133.71520485,2026-01-01,2026-01-31
"Prachuap Khiri Khan",892,2999,258,,311,THB,0.4810209,,10.37012337,124.10339306,2026-01-01,2026-01-31
Krabi,810,2868,240,,295,THB,0.51480537,,10.28591353,123.55328937,2026-01-01,2026-01-31
Kalasin,664,2669,255,,338,THB,0.45824324,,12.66391907,116.8520262,2026-01-01,2026-01-31
"Suphan Buri",907,3365,249,,309,THB,0.46571027,,9.18276374,115.96185841,2026-01-01,2026-01-31
Trang,837,3084,276,,336,THB,0.39974926,,10.89494163,110.33079697,2026-01-01,2026-01-31
Sisaket,829,3023,265,,311,THB,0.40856758,,10.28779358,108.2704086,2026-01-01,2026-01-31
Tak,686,2231,178,,208,THB,0.58977409,,9.32317346,104.97978833,2026-01-01,2026-01-31
Phetchaburi,646,2350,237,,300,THB,0.43632697,,12.76595745,103.40949233,2026-01-01,2026-01-31
"Kamphaeng Phet",613,2812,235,,297,THB,0.43101742,,10.56187767,101.28909264,2026-01-01,2026-01-31
"Yala Province",716,1971,178,,223,THB,0.55903796,,11.31405378,99.50875706,2026-01-01,2026-01-31
Pattani,834,2373,210,,255,THB,0.4659926,,10.74589128,97.85844598,2026-01-01,2026-01-31
Phetchabun,711,2346,158,,195,THB,0.54959727,,8.31202046,86.83636835,2026-01-01,2026-01-31
"Sa Kaeo",493,2272,233,,286,THB,0.35045233,,12.58802817,81.65539176,2026-01-01,2026-01-31
"Nakhon Phanom",621,2381,181,,244,THB,0.4293627,,10.24779504,77.71464894,2026-01-01,2026-01-31
Phichit,535,2048,188,,242,THB,0.40582118,,11.81640625,76.29438123,2026-01-01,2026-01-31
Phrae,412,1753,146,,180,THB,0.485845,,10.26811181,70.93337069,2026-01-01,2026-01-31
Yasothon,436,1734,131,,174,THB,0.5372005,,10.03460208,70.37326512,2026-01-01,2026-01-31
Loei,539,1858,159,,197,THB,0.4254261,,10.60279871,67.64275042,2026-01-01,2026-01-31
Phayao,440,1741,145,,194,THB,0.45284398,,11.14302125,65.66237713,2026-01-01,2026-01-31
Narathiwat,779,2165,206,,234,THB,0.30233854,,10.80831409,62.28173989,2026-01-01,2026-01-31
Lamphun,515,1827,154,,192,THB,0.40215373,,10.5090312,61.93167391,2026-01-01,2026-01-31
Phangnga,533,1545,133,,153,THB,0.45271691,,9.90291262,60.21134963,2026-01-01,2026-01-31
Phatthalung,506,1684,122,,147,THB,0.48960048,,8.72921615,59.73125914,2026-01-01,2026-01-31
"Nong Bua Lam Phu",359,1826,168,,205,THB,0.34458876,,11.22672508,57.89091224,2026-01-01,2026-01-31
"Amnat Charoen",296,1264,107,,154,THB,0.52486529,,12.1835443,56.16058608,2026-01-01,2026-01-31
Uttaradit,424,1313,98,,129,THB,0.56531064,,9.82482864,55.40044279,2026-01-01,2026-01-31
Sukhothai,417,1248,110,,134,THB,0.49572981,,10.73717949,54.53027877,2026-01-01,2026-01-31
Nan,324,1189,83,,102,THB,0.64241025,,8.57863751,53.32005064,2026-01-01,2026-01-31
Mukdahan,439,1558,146,,187,THB,0.34020111,,12.00256739,49.6693625,2026-01-01,2026-01-31
Satun,336,1087,90,,109,THB,0.51276332,,10.0275989,46.14869887,2026-01-01,2026-01-31
"Ang Thong",315,1128,104,,123,THB,0.41498207,,10.90425532,43.15813516,2026-01-01,2026-01-31
"Nakhon Nayok",342,1211,105,,123,THB,0.40788641,,10.15689513,42.82807294,2026-01-01,2026-01-31
"Sing Buri",298,966,84,,101,THB,0.48211469,,10.45548654,40.49763366,2026-01-01,2026-01-31
"Samut Songkhram",233,781,67,,87,THB,0.56592757,,11.13956466,37.91714725,2026-01-01,2026-01-31
"Uthai Thani",349,1123,111,,135,THB,0.32618761,,12.02137133,36.20682486,2026-01-01,2026-01-31
Ranong,283,922,86,,114,THB,0.41705536,,12.36442516,35.86676076,2026-01-01,2026-01-31
Trat,347,979,86,,102,THB,0.40030801,,10.41879469,34.42648927,2026-01-01,2026-01-31
"Chai Nat",385,1150,97,,121,THB,0.34356992,,10.52173913,33.32628189,2026-01-01,2026-01-31
"Bueng Kan",261,859,69,,79,THB,0.44254719,,9.1967404,30.53575588,2026-01-01,2026-01-31
"Mae Hong Son",122,457,37,,45,THB,0.56848554,,9.84682713,21.03396483,2026-01-01,2026-01-31
Unknown,7,17,,,0,THB,,,0,0.23004336,2026-01-01,2026-01-31
