Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Bangkok,881640,1462756,25687,,37300,THB,1.34131244,,2.54998099,34454.29269366,2026-07-01,2026-07-31
"Chon Buri",40609,66241,743,,1104,THB,1.70473086,,1.66664151,1266.61502653,2026-07-01,2026-07-31
"Nakhon Ratchasima",38626,62226,423,,613,THB,2.2574674,,0.98511876,954.90871141,2026-07-01,2026-07-31
Songkhla,18406,30785,247,,368,THB,2.44535571,,1.19538736,604.00285969,2026-07-01,2026-07-31
Rayong,21153,34366,316,,472,THB,1.82086455,,1.3734505,575.39319791,2026-07-01,2026-07-31
Nonthaburi,11155,18190,405,,563,THB,1.41084752,,3.0951072,571.39324519,2026-07-01,2026-07-31
"Chiang Mai",22053,34372,314,,439,THB,1.68599918,,1.27720237,529.40374158,2026-07-01,2026-07-31
"Pathum Thani",13846,22928,408,,608,THB,1.24780388,,2.65177948,509.10398155,2026-07-01,2026-07-31
"Khon Kaen",20517,32677,281,,411,THB,1.80859072,,1.2577654,508.21399208,2026-07-01,2026-07-31
"Surat Thani",17711,27255,223,,319,THB,2.13266537,,1.17042744,475.58437781,2026-07-01,2026-07-31
"Samut Prakan",11332,18979,318,,467,THB,1.43347362,,2.46061436,455.84461117,2026-07-01,2026-07-31
"Udon Thani",16842,27756,281,,425,THB,1.58546168,,1.53120046,445.51473328,2026-07-01,2026-07-31
"Ubon Ratchathani",23205,36335,172,,242,THB,2.43677352,,0.66602449,419.12504525,2026-07-01,2026-07-31
"Nakhon Si Thammarat",18824,29660,160,,244,THB,2.36347206,,0.82265678,378.15552958,2026-07-01,2026-07-31
"Chiang Rai",13973,22548,174,,258,THB,1.94894248,,1.14422565,339.11599109,2026-07-01,2026-07-31
Buriram,17467,27983,125,,182,THB,2.60212924,,0.65039488,325.26615482,2026-07-01,2026-07-31
Ayutthaya,14705,23488,173,,259,THB,1.81032542,,1.10269074,313.18629762,2026-07-01,2026-07-31
Saraburi,12872,21504,184,,270,THB,1.67954536,,1.25558036,309.03634668,2026-07-01,2026-07-31
"Roi Et",13115,21214,108,,161,THB,2.73959724,,0.75893278,295.87650225,2026-07-01,2026-07-31
Surin,15532,25541,102,,159,THB,2.84731928,,0.62252848,290.42656668,2026-07-01,2026-07-31
"Nakhon Pathom",10992,16868,165,,260,THB,1.74779752,,1.54138013,288.3865908,2026-07-01,2026-07-31
Phuket,11638,17177,196,,282,THB,1.46365617,,1.64173022,286.87660865,2026-07-01,2026-07-31
"Sakon Nakhon",13627,20893,117,,184,THB,2.43783443,,0.88067774,285.22662815,2026-07-01,2026-07-31
Chachoengsao,11622,17880,145,,224,THB,1.95211485,,1.25279642,283.05665381,2026-07-01,2026-07-31
Phitsanulok,11531,17941,152,,212,THB,1.86050432,,1.18165097,282.79665688,2026-07-01,2026-07-31
Kanchanaburi,13425,20514,96,,144,THB,2.85267461,,0.70195964,273.85676256,2026-07-01,2026-07-31
Chaiyaphum,13117,20501,85,,123,THB,3.1693743,,0.59997073,269.39681529,2026-07-01,2026-07-31
"Nakhon Sawan",15000,22828,103,,166,THB,2.46657278,,0.72717715,254.05699663,2026-07-01,2026-07-31
Ratchaburi,12150,18647,123,,183,THB,2.01200874,,0.98139111,247.47707441,2026-07-01,2026-07-31
Chanthaburi,11640,18099,137,,195,THB,1.77494252,,1.07740759,243.16712537,2026-07-01,2026-07-31
Sisaket,14761,22709,82,,119,THB,2.92081913,,0.52402131,239.50716863,2026-07-01,2026-07-31
"Samut Sakhon",9773,14883,100,,162,THB,2.23407359,,1.08849022,223.40735896,2026-07-01,2026-07-31
"Lop Buri",10190,16372,89,,137,THB,2.43547683,,0.83679453,216.75743757,2026-07-01,2026-07-31
"Prachin Buri",11064,17098,127,,176,THB,1.67470461,,1.02936016,212.68748568,2026-07-01,2026-07-31
"Suphan Buri",11145,17621,119,,150,THB,1.78644947,,0.85125702,212.58748687,2026-07-01,2026-07-31
Lampang,8941,14136,94,,133,THB,2.21603763,,0.94086022,208.30753746,2026-07-01,2026-07-31
