Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Bangkok,621148,873964,3839,,4385,THB,2.64245227,,0.50173691,10144.37426907,2026-06-01,2026-06-18
"Nakhon Ratchasima",49890,77051,205,,179,THB,3.15188232,,0.23231366,646.13587594,2026-06-01,2026-06-18
"Chon Buri",44299,64203,198,,229,THB,3.2120793,,0.35668115,635.99170175,2026-06-01,2026-06-18
"Chiang Mai",29172,42745,150,,132,THB,2.67309994,,0.30880805,400.96499152,2026-06-01,2026-06-18
"Ubon Ratchathani",30262,47609,134,,102,THB,2.95449932,,0.21424521,395.90290855,2026-06-01,2026-06-18
"Khon Kaen",26829,38967,125,,114,THB,2.97714505,,0.29255524,372.14313173,2026-06-01,2026-06-18
Songkhla,25712,38534,124,,144,THB,2.97186804,,0.37369596,368.51163742,2026-06-01,2026-06-18
Rayong,24123,36388,124,,111,THB,2.91273081,,0.30504562,361.17861998,2026-06-01,2026-06-18
"Nakhon Si Thammarat",24992,38823,102,,101,THB,3.29145243,,0.26015506,335.72814747,2026-06-01,2026-06-18
"Surat Thani",21918,34200,98,,101,THB,2.98326839,,0.29532164,292.3603022,2026-06-01,2026-06-18
"Udon Thani",21990,33388,115,,90,THB,2.52329917,,0.26955793,290.17940479,2026-06-01,2026-06-18
Buriram,24848,36425,93,,66,THB,3.09213258,,0.18119423,287.56833037,2026-06-01,2026-06-18
Surin,21749,32484,81,,73,THB,3.18377922,,0.22472602,257.88611655,2026-06-01,2026-06-18
"Sakon Nakhon",18311,29089,79,,79,THB,3.24766548,,0.27158032,256.56557317,2026-06-01,2026-06-18
"Chiang Rai",16717,26680,105,,91,THB,2.27236362,,0.34107946,238.59817984,2026-06-01,2026-06-18
"Roi Et",17987,28129,67,,52,THB,3.5074134,,0.1848626,234.99669788,2026-06-01,2026-06-18
Sisaket,20225,30283,77,,48,THB,3.04008212,,0.15850477,234.08632327,2026-06-01,2026-06-18
"Pathum Thani",14138,20522,82,,98,THB,2.80920473,,0.4775363,230.35478779,2026-06-01,2026-06-18
Phuket,14402,20799,63,,74,THB,3.55225535,,0.35578634,223.79208733,2026-06-01,2026-06-18
Ayutthaya,16874,24384,86,,63,THB,2.41203903,,0.25836614,207.43535677,2026-06-01,2026-06-18
Chaiyaphum,17622,26520,71,,49,THB,2.89288052,,0.18476621,205.39451699,2026-06-01,2026-06-18
"Nakhon Sawan",16854,26040,67,,43,THB,3.05931857,,0.16513057,204.97434409,2026-06-01,2026-06-18
Ratchaburi,15665,22279,73,,46,THB,2.65588738,,0.20647246,193.87977884,2026-06-01,2026-06-18
"Maha Sarakham",15252,23502,64,,51,THB,2.95058913,,0.21700281,188.83770409,2026-06-01,2026-06-18
Kanchanaburi,17026,23934,71,,48,THB,2.65869965,,0.20055152,188.76767528,2026-06-01,2026-06-18
Saraburi,14125,22265,88,,67,THB,2.09438454,,0.30092073,184.30583929,2026-06-01,2026-06-18
"Samut Prakan",12424,17413,67,,86,THB,2.73321423,,0.49388388,183.12535354,2026-06-01,2026-06-18
Phitsanulok,14614,22100,64,,55,THB,2.82741344,,0.24886878,180.95446025,2026-06-01,2026-06-18
"Suphan Buri",13425,20496,66,,50,THB,2.60000926,,0.24395004,171.60061127,2026-06-01,2026-06-18
Nonthaburi,9998,13821,53,,72,THB,3.14016006,,0.52094639,166.42848301,2026-06-01,2026-06-18
