Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Bangkok,69594,158955,7851,,9878,THB,1.48187593,,6.21433739,11634.20789438,2026-03-01,2026-03-31
"Chon Buri",8667,25226,1234,,1585,THB,1.19413981,,6.28319987,1473.56852675,2026-03-01,2026-03-31
"Nakhon Ratchasima",7422,18935,679,,818,THB,1.60948906,,4.32004225,1092.84307042,2026-03-01,2026-03-31
Songkhla,4879,13080,484,,589,THB,1.60950844,,4.5030581,779.00208617,2026-03-01,2026-03-31
"Nakhon Si Thammarat",4439,12233,406,,467,THB,1.91566996,,3.81754271,777.76200326,2026-03-01,2026-03-31
"Pathum Thani",4097,12184,653,,882,THB,1.11145257,,7.23900197,725.7785275,2026-03-01,2026-03-31
"Chiang Mai",5050,12484,420,,560,THB,1.6611825,,4.48574175,697.69664987,2026-03-01,2026-03-31
"Khon Kaen",4786,11615,438,,530,THB,1.55124527,,4.563065,679.44542955,2026-03-01,2026-03-31
Nonthaburi,3534,9436,470,,637,THB,1.43905367,,6.75074184,676.35522293,2026-03-01,2026-03-31
"Ubon Ratchathani",4391,10583,436,,436,THB,1.55072295,,4.1198148,676.11520688,2026-03-01,2026-03-31
Rayong,3996,11684,442,,570,THB,1.48251994,,4.87846628,655.27381337,2026-03-01,2026-03-31
"Samut Prakan",3894,10746,524,,703,THB,1.24674367,,6.5419691,653.29368097,2026-03-01,2026-03-31
"Surat Thani",4495,11633,371,,441,THB,1.60800509,,3.79093957,596.56988826,2026-03-01,2026-03-31
"Udon Thani",3959,10206,404,,469,THB,1.39452393,,4.59533608,563.38766961,2026-03-01,2026-03-31
Buriram,3453,8264,238,,257,THB,2.09707299,,3.10987415,499.10337139,2026-03-01,2026-03-31
Phuket,3106,8152,314,,417,THB,1.46210413,,5.11530913,459.10069671,2026-03-01,2026-03-31
Sisaket,2987,6573,237,,220,THB,1.83738024,,3.34702571,435.45911597,2026-03-01,2026-03-31
"Sakon Nakhon",2829,7095,261,,305,THB,1.63735086,,4.29880197,427.34857367,2026-03-01,2026-03-31
Phitsanulok,2824,6908,179,,224,THB,2.29546074,,3.24261726,410.88747304,2026-03-01,2026-03-31
"Nakhon Pathom",2642,6376,216,,282,THB,1.86239304,,4.42283563,402.27689731,2026-03-01,2026-03-31
