Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Bangkok,116680,374477,23793,,25739,THB,1.23781469,,6.87331932,29451.32492442,2026-05-01,2026-05-31
"Chon Buri",5406,23704,1513,,1891,THB,1.25000748,,7.97755653,1891.26132191,2026-05-01,2026-05-31
"Pathum Thani",2536,11061,680,,813,THB,1.42216376,,7.35014917,967.07135615,2026-05-01,2026-05-31
"Nakhon Ratchasima",3548,13429,775,,914,THB,1.12786883,,6.80616576,874.09834161,2026-05-01,2026-05-31
Nonthaburi,2601,9584,573,,721,THB,1.40795141,,7.52295492,806.75615812,2026-05-01,2026-05-31
Rayong,2123,9494,543,,684,THB,1.39339693,,7.20455024,756.61453233,2026-05-01,2026-05-31
Songkhla,2673,10308,587,,678,THB,1.26293703,,6.5774156,741.3440372,2026-05-01,2026-05-31
"Khon Kaen",2476,9106,548,,658,THB,1.22157245,,7.22600483,669.42170521,2026-05-01,2026-05-31
"Chiang Mai",2424,8464,504,,634,THB,1.26008054,,7.4905482,635.08059174,2026-05-01,2026-05-31
"Samut Prakan",2241,8555,503,,619,THB,1.23966246,,7.23553477,623.55021788,2026-05-01,2026-05-31
Phuket,2201,7251,414,,485,THB,1.50299559,,6.68873259,622.2401754,2026-05-01,2026-05-31
"Nakhon Si Thammarat",2167,8452,438,,509,THB,1.22150079,,6.02224326,535.01734731,2026-05-01,2026-05-31
"Surat Thani",2252,8322,435,,529,THB,1.20780928,,6.35664504,525.39703538,2026-05-01,2026-05-31
"Udon Thani",2080,7768,474,,567,THB,1.0820393,,7.29917611,512.88662974,2026-05-01,2026-05-31
"Chiang Rai",1260,6260,401,,485,THB,1.24507778,,7.74760383,499.27618844,2026-05-01,2026-05-31
"Ubon Ratchathani",2251,7941,441,,522,THB,0.98080278,,6.57347941,432.5340244,2026-05-01,2026-05-31
"Sakon Nakhon",1200,4419,274,,310,THB,1.27084413,,7.0151618,348.21129034,2026-05-01,2026-05-31
Saraburi,1299,5512,296,,343,THB,1.15713211,,6.22278665,342.51110552,2026-05-01,2026-05-31
"Samut Sakhon",1216,3956,230,,288,THB,1.34539145,,7.28008089,309.44003323,2026-05-01,2026-05-31
Ayutthaya,1580,5100,277,,342,THB,1.0989526,,6.70588235,304.40987013,2026-05-01,2026-05-31
"Nakhon Pathom",1420,4372,260,,301,THB,1.16788402,,6.88472095,303.64984549,2026-05-01,2026-05-31
